sentido,anio,codigo_ipress,mes,motivo
A_sin_D,2015,00013290,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00013291,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00013295,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00013373,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00013383,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00013494,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00013722,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00013910,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00013912,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00014361,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00014501,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00015118,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00015179,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00015230,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00015375,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00015684,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00015730,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00015996,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00016153,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00016157,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00016363,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00016374,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00016488,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00016552,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00017393,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00017563,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00017588,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00018230,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00018310,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00018581,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00018626,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00018985,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00019264,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2015,00019839,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000001,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000003,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000007,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000016,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000025,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000091,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000105,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000118,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000150,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000162,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000187,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000193,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000210,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000212,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000235,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000308,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000340,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000365,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000432,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000442,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000519,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000520,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000753,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000754,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00000932,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001231,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001232,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001344,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001382,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001543,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001587,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001633,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001652,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001703,,Código sin D ese año (A nacional vs D filtrado)
A_sin_D,2016,00001719,,Código sin D ese año (A nacional vs D filtrado)
