codigo_ipress,anio,mes,servicios_d,servicios_con_camas_validas,suma_total_camas_d,max_total_camas_d,CA_CAMAS,estado_calidad_a,diferencia_suma_total_camas_d,diferencia_pct_suma_total_camas_d,diferencia_max_total_camas_d,diferencia_pct_max_total_camas_d
00005617,2023,1,6,6,114.0,38.0,145.0,UNICA,-31.0,-21.379310344827587,-107.0,-73.79310344827587
00005617,2023,2,6,6,115.0,38.0,145.0,UNICA,-30.0,-20.689655172413794,-107.0,-73.79310344827587
00005617,2023,3,6,6,115.0,38.0,145.0,UNICA,-30.0,-20.689655172413794,-107.0,-73.79310344827587
00005617,2023,4,6,6,113.0,38.0,145.0,UNICA,-32.0,-22.06896551724138,-107.0,-73.79310344827587
00005617,2023,5,6,6,114.0,38.0,145.0,UNICA,-31.0,-21.379310344827587,-107.0,-73.79310344827587
00005617,2023,6,6,6,123.0,42.0,145.0,UNICA,-22.0,-15.172413793103448,-103.0,-71.03448275862068
00005617,2023,7,6,6,109.0,30.0,145.0,UNICA,-36.0,-24.82758620689655,-115.0,-79.3103448275862
00005617,2023,8,6,6,109.0,30.0,145.0,UNICA,-36.0,-24.82758620689655,-115.0,-79.3103448275862
00005617,2023,9,6,6,101.0,24.0,119.0,UNICA,-18.0,-15.126050420168067,-95.0,-79.83193277310924
00005617,2023,10,6,6,101.0,24.0,119.0,UNICA,-18.0,-15.126050420168067,-95.0,-79.83193277310924
00005617,2023,11,6,6,89.0,24.0,89.0,UNICA,0.0,0.0,-65.0,-73.03370786516854
00005617,2023,12,6,6,77.0,20.0,89.0,UNICA,-12.0,-13.48314606741573,-69.0,-77.52808988764045
00005617,2024,1,6,6,86.0,24.0,86.0,UNICA,0.0,0.0,-62.0,-72.09302325581395
00005617,2024,2,6,6,82.0,24.0,82.0,UNICA,0.0,0.0,-58.0,-70.73170731707317
00005617,2024,3,6,6,100.0,28.0,82.0,UNICA,18.0,21.951219512195124,-54.0,-65.85365853658537
00005617,2024,4,6,6,101.0,28.0,82.0,UNICA,19.0,23.170731707317074,-54.0,-65.85365853658537
00005617,2024,5,6,6,96.0,28.0,82.0,UNICA,14.0,17.073170731707318,-54.0,-65.85365853658537
00005617,2024,6,6,6,99.0,24.0,82.0,UNICA,17.0,20.73170731707317,-58.0,-70.73170731707317
00005617,2024,7,6,6,110.0,30.0,82.0,UNICA,28.0,34.146341463414636,-52.0,-63.41463414634146
00005617,2024,8,6,6,104.0,30.0,82.0,UNICA,22.0,26.82926829268293,-52.0,-63.41463414634146
00005617,2024,9,6,6,106.0,28.0,82.0,UNICA,24.0,29.268292682926827,-54.0,-65.85365853658537
00005617,2024,10,6,6,111.0,30.0,82.0,UNICA,29.0,35.36585365853659,-52.0,-63.41463414634146
00005617,2024,11,6,6,112.0,32.0,82.0,UNICA,30.0,36.58536585365854,-50.0,-60.97560975609756
00005617,2024,12,5,5,107.0,31.0,82.0,UNICA,25.0,30.48780487804878,-51.0,-62.19512195121951
00005617,2025,1,5,5,90.0,25.0,82.0,UNICA,8.0,9.75609756097561,-57.0,-69.51219512195121
00005617,2025,2,5,5,109.0,30.0,109.0,UNICA,0.0,0.0,-79.0,-72.47706422018348
00005617,2025,3,5,5,127.0,35.0,109.0,UNICA,18.0,16.51376146788991,-74.0,-67.88990825688074
00005617,2025,4,5,5,124.0,33.0,109.0,UNICA,15.0,13.761467889908257,-76.0,-69.72477064220183
00005617,2025,5,5,5,127.0,36.0,109.0,UNICA,18.0,16.51376146788991,-73.0,-66.97247706422019
00005617,2025,6,5,5,118.0,32.0,109.0,UNICA,9.0,8.256880733944955,-77.0,-70.64220183486239
00005617,2025,7,5,5,123.0,35.0,109.0,UNICA,14.0,12.844036697247708,-74.0,-67.88990825688074
00005617,2025,8,5,5,121.0,32.0,122.0,UNICA,-1.0,-0.819672131147541,-90.0,-73.77049180327869
00005617,2025,9,5,5,112.0,32.0,109.0,UNICA,3.0,2.7522935779816518,-77.0,-70.64220183486239
00005617,2025,10,5,5,119.0,32.0,119.0,UNICA,0.0,0.0,-87.0,-73.10924369747899
00005617,2025,11,5,5,123.0,33.0,119.0,UNICA,4.0,3.361344537815126,-86.0,-72.26890756302521
00005617,2026,1,7,7,125.0,35.0,125.0,UNICA,0.0,0.0,-90.0,-72.0
00005617,2026,2,7,7,123.0,34.0,123.0,UNICA,0.0,0.0,-89.0,-72.35772357723577
00005617,2026,3,7,7,125.0,35.0,125.0,UNICA,0.0,0.0,-90.0,-72.0
00005644,2025,1,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,2,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,3,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,4,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,5,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,6,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,7,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,8,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,9,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,10,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2025,11,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2026,1,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2026,2,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005644,2026,3,1,1,12.0,12.0,0.0,UNICA,12.0,,12.0,
00005735,2025,2,1,1,12.0,12.0,8.0,UNICA,4.0,50.0,4.0,50.0
00005735,2025,3,1,1,12.0,12.0,8.0,UNICA,4.0,50.0,4.0,50.0
00005735,2025,4,1,1,12.0,12.0,8.0,UNICA,4.0,50.0,4.0,50.0
00005735,2025,5,1,1,12.0,12.0,8.0,UNICA,4.0,50.0,4.0,50.0
00005735,2025,6,1,1,12.0,12.0,8.0,UNICA,4.0,50.0,4.0,50.0
00005735,2025,7,1,1,12.0,12.0,8.0,UNICA,4.0,50.0,4.0,50.0
00005735,2025,8,1,1,12.0,12.0,8.0,UNICA,4.0,50.0,4.0,50.0
00005735,2025,9,1,1,12.0,12.0,10.0,UNICA,2.0,20.0,2.0,20.0
00005735,2025,10,1,1,12.0,12.0,10.0,UNICA,2.0,20.0,2.0,20.0
00005735,2025,11,1,1,12.0,12.0,10.0,UNICA,2.0,20.0,2.0,20.0
00005735,2026,1,1,1,12.0,12.0,10.0,UNICA,2.0,20.0,2.0,20.0
00005735,2026,2,1,1,12.0,12.0,10.0,UNICA,2.0,20.0,2.0,20.0
00005735,2026,3,1,1,12.0,12.0,8.0,UNICA,4.0,50.0,4.0,50.0
00005742,2025,1,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,2,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,3,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,4,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,5,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,6,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,7,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,8,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,9,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,10,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2025,11,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2026,1,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2026,2,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005742,2026,3,1,1,6.0,6.0,6.0,UNICA,0.0,0.0,0.0,0.0
00005755,2025,1,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,2,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,3,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,4,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,5,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,6,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,7,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,8,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,9,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,10,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2025,11,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2026,1,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2026,2,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005755,2026,3,2,2,44.0,22.0,0.0,UNICA,44.0,,22.0,
00005772,2025,1,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2025,2,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2025,3,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2025,4,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2025,5,2,2,57.0,38.0,8.0,UNICA,49.0,612.5,30.0,375.0
00005772,2025,6,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2025,7,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2025,8,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2025,9,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2025,10,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2025,11,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2026,1,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2026,2,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005772,2026,3,1,1,19.0,19.0,8.0,UNICA,11.0,137.5,11.0,137.5
00005791,2025,1,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
00005791,2025,2,1,1,16.0,16.0,15.0,UNICA,1.0,6.666666666666667,1.0,6.666666666666667
