codigo_ipress,anio,mes,_archivo,_registro,variable,anterior,actual,diferencia
00001472,2021,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,9771,CA_CAMAS,7.0,17.0,10.0
00001540,2019,3,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,4385,CA_CAMAS,48.0,0.0,-48.0
00001633,2020,8,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,28747,CA_CAMAS,28.0,58.0,30.0
00001741,2021,7,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,14584,CA_CAMAS,18.0,36.0,18.0
00001783,2019,1,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,1113,CA_CAMAS,0.0,18.0,18.0
00001795,2021,3,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,6492,CA_CAMAS,14.0,39.0,25.0
00001796,2026,1,data\raw\Capacidad\ConsultaA_2026_v13.csv,23212,CA_CAMAS,2.0,12.0,10.0
00001796,2026,5,data\raw\Capacidad\ConsultaA_2026_v13.csv,9377,CA_CAMAS,2.0,12.0,10.0
00001813,2021,12,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,28081,CA_CAMAS,29.0,59.0,30.0
00001856,2026,2,data\raw\Capacidad\ConsultaA_2026_v13.csv,31866,CA_CAMAS,0.0,10.0,10.0
00001866,2023,7,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,22679,CA_CAMAS,12.0,0.0,-12.0
00001866,2023,9,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,33529,CA_CAMAS,0.0,10.0,10.0
00001866,2023,10,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,34754,CA_CAMAS,10.0,30.0,20.0
00001866,2023,11,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,28215,CA_CAMAS,30.0,0.0,-30.0
00001882,2017,1,data\raw\Capacidad\ConsultaA_Recurso_Salud_2017_v1.csv,858,CA_CAMAS,12.0,0.0,-12.0
