codigo_ipress,anio,mes,servicio_hospitalizacion,total_camas,CA_CAMAS,diferencia,diferencia_absoluta,diferencia_porcentual,estado_match,_archivo,_registro
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA QUEMADOS,20,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,22,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,36,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,7,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,28,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,82,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA CARDIOLOGÍA PEDIÁTRICA,24,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA DERMATOLOGÍA PEDIÁTRICA,10,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA GASTROENTEROLOGÍA PEDIÁTRICA,10,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA GINECOLOGÍA PEDIÁTRICA,2,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEFROLOGÍA PEDIÁTRICA,6,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,10,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUMOLOGÍA PEDIÁTRICA,23,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,15,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA OTORRINOLARINGOLOGÍA PEDIÁTRICA,12,,,,,sin_match,,
00006216,2015,1,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) PEDIÁTRICA,16,,,,,sin_match,,
00007734,2015,1,HOSPITALIZACIÓN,36,36.0,0.0,0.0,0.0,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,175.0
00006214,2015,1,HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA,590,,,,,sin_match,,
00005987,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,90,329.0,-239.0,239.0,-72.64437689969606,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,97.0
00005987,2015,1,HOSPITALIZACIÓN QUIRÚRGICA GINECO - OBSTETRICIA,91,329.0,-238.0,238.0,-72.3404255319149,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,97.0
00005987,2015,1,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,69,329.0,-260.0,260.0,-79.0273556231003,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,97.0
00005987,2015,1,HOSPITALIZACIÓN DE MEDICINA ONCOLOGÍA MÉDICA,14,329.0,-315.0,315.0,-95.74468085106383,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,97.0
00005987,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,44,329.0,-285.0,285.0,-86.62613981762918,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,97.0
00005987,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,61,329.0,-268.0,268.0,-81.45896656534954,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,97.0
00005948,2015,1,HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA,210,,,,,sin_match,,
00005948,2015,1,HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA REHABILITACIÓN PSIQUIÁTRICA / REINSERCIÓN,20,,,,,sin_match,,
00006207,2015,2,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,120,800.0,-680.0,680.0,-85.0,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE CABEZA Y CUELLO / MÁXILO FACIAL,15,800.0,-785.0,785.0,-98.125,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA,23,800.0,-777.0,777.0,-97.125,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,15,800.0,-785.0,785.0,-98.125,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,30,800.0,-770.0,770.0,-96.25,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,32,800.0,-768.0,768.0,-96.0,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA,53,800.0,-747.0,747.0,-93.375,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA,79,800.0,-721.0,721.0,-90.125,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA GINECOLOGIA ONCOLOGICA,8,800.0,-792.0,792.0,-99.0,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,6,800.0,-794.0,794.0,-99.25,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,253,800.0,-547.0,547.0,-68.375,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,38,800.0,-762.0,762.0,-95.25,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,76,800.0,-724.0,724.0,-90.5,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI),10,800.0,-790.0,790.0,-98.75,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006207,2015,2,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS GENERAL (UCIN),10,800.0,-790.0,790.0,-98.75,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,113.0
00006209,2015,2,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,40,196.0,-156.0,156.0,-79.59183673469387,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,135.0
00006209,2015,2,HOSPITALIZACIÓN QUIRÚRGICA OTORRINOLARINGOLOGÍA,1,196.0,-195.0,195.0,-99.48979591836735,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,135.0
00006209,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,20,196.0,-176.0,176.0,-89.79591836734694,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,135.0
00006209,2015,2,HOSPITALIZACIÓN-HOSPITALIZACIÓN DE MEDICINA-GERIATRIA,20,196.0,-176.0,176.0,-89.79591836734694,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,135.0
00006209,2015,2,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA NEURODEGENERATIVAS,44,196.0,-152.0,152.0,-77.55102040816327,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,135.0
00006209,2015,2,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA NEUROVASCULARES Y METABOLICAS,13,196.0,-183.0,183.0,-93.36734693877551,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,135.0
00006209,2015,2,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA ENFERMEDADES INFECCIOSAS/TRANSMISIBLES DEL SISTEMA NERVIOSO,28,196.0,-168.0,168.0,-85.71428571428571,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,135.0
00006209,2015,2,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA EPILEPSIA/EPILEPTOLOGIA,17,196.0,-179.0,179.0,-91.3265306122449,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,135.0
00006209,2015,2,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROLÓGICA,5,196.0,-191.0,191.0,-97.44897959183673,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,135.0
00008353,2015,2,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,12,67.0,-55.0,55.0,-82.08955223880598,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,268.0
00008353,2015,2,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,11,67.0,-56.0,56.0,-83.5820895522388,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,268.0
00008353,2015,2,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,2,67.0,-65.0,65.0,-97.01492537313433,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,268.0
00008353,2015,2,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA,4,67.0,-63.0,63.0,-94.02985074626866,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,268.0
00008353,2015,2,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,30,67.0,-37.0,37.0,-55.223880597014926,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,268.0
00008353,2015,2,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,8,67.0,-59.0,59.0,-88.05970149253731,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,268.0
00008353,2015,2,HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-MEDICINA,4,67.0,-63.0,63.0,-94.02985074626866,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,268.0
00006216,2015,2,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE CABEZA Y CUELLO / MÁXILO FACIAL,11,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE TÓRAX Y CARDIOVASCULAR,19,,,,,sin_match,,
00006216,2015,2,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PEDIÁTRICA,23,,,,,sin_match,,
