codigo_ipress,anio,mes,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,departamento,provincia,distrito,sector,categoria,nombre_ipress,_codigo_original,_anio_original,_mes_original,_clave_valida,_archivo,_registro,_huella_fila,original_ANHO,original_MES,original_UBIGEO,original_DEPARTAMENTO,original_PROVINCIA,original_DISTRITO,original_SECTOR,original_CATEGORIA,original_CO_IPRESS,original_RAZON_SOC,original_CA_CONSULTORIOS,original_CA_CONSULTORIOS_FN,original_CA_CAMAS,original_CA_MEDICOS_TOTAL,original_CA_MEDICOS_SERUM,original_CA_MEDICOS_RESIDENTES,original_CA_ENFERMERAS,original_CA_ODONTOLOGOS,original_CA_PSICOLOGOS,original_CA_NUTRICIONISTAS,original_CA_TECNOLOGOS_MEDICOS,original_CA_OBSTETRICES,original_CA_FARMACEUTICOS,original_CA_AUXILIARES,original_CA_OTROS_PROF,original_CA_AMBULANCIAS,filas_originales,versiones_distintas,estado_calidad_a,cantidad_eliminada
00000777,2020,2,0,1,0,7,HUANUCO,HUANUCO,SAN PABLO DE PILLAO,GOBIERNO REGIONAL,I-3,PILLAO,00000777,2020,02,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,10439,7274030113170762440,2020,02,100113,HUANUCO,HUANUCO,SAN PABLO DE PILLAO,GOBIERNO REGIONAL,I-3,00000777,PILLAO,14,0,0,1,1,0,7,1,0,0,0,5,0,1,4,2,4,2,AMBIGUA,0
00003590,2020,1,6,1,0,5,AYACUCHO,HUAMANGA,VINCHOS,GOBIERNO REGIONAL,I-3,PUTACCA,00003590,2020,01,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,10673,4258810354666175792,2020,01,050114,AYACUCHO,HUAMANGA,VINCHOS,GOBIERNO REGIONAL,I-3,00003590,PUTACCA,9,9,6,1,1,0,5,3,0,0,0,5,0,3,0,1,10,2,AMBIGUA,0
00003593,2020,1,1,0,0,2,AYACUCHO,CANGALLO,CHUSCHI,GOBIERNO REGIONAL,I-1,PUNKUPATA,00003593,2020,01,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,10674,4252768543666368922,2020,01,050202,AYACUCHO,CANGALLO,CHUSCHI,GOBIERNO REGIONAL,I-1,00003593,PUNKUPATA,2,4,1,0,0,0,2,0,0,0,0,1,0,0,1,0,10,2,AMBIGUA,0
00000777,2020,2,0,1,0,7,HUANUCO,HUANUCO,SAN PABLO DE PILLAO,GOBIERNO REGIONAL,I-3,PILLAO,00000777,2020,02,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,10900,18403305216539906911,2020,02,100113,HUANUCO,HUANUCO,SAN PABLO DE PILLAO,GOBIERNO REGIONAL,I-3,00000777,PILLAO,14,14,0,1,1,0,7,1,0,0,0,5,0,1,4,2,4,2,AMBIGUA,0
00002379,2020,3,NE_0001,NE_0001,NE_0001,NE_0001,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,HERCCA,00002379,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11217,8421169629515633706,2020,03,080601,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,00002379,HERCCA,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,5,2,AMBIGUA,0
00002379,2020,3,NE_0002,NE_0002,NE_0002,NE_0002,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,HERCCA,00002379,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11237,10027063675827421322,2020,03,080601,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-1,00002379,HERCCA,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,5,2,AMBIGUA,0
00004484,2020,3,0,1,0,1,CAJAMARCA,CELENDIN,OXAMARCA,GOBIERNO REGIONAL,I-2,OXAMARCA,00004484,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11349,4169305487574165728,2020,03,060308,CAJAMARCA,CELENDIN,OXAMARCA,GOBIERNO REGIONAL,I-2,00004484,OXAMARCA,3,3,0,1,1,0,1,0,0,0,0,1,0,2,0,1,3,2,AMBIGUA,0
00004488,2020,3,0,1,0,1,CAJAMARCA,CELENDIN,JOSE GALVEZ,GOBIERNO REGIONAL,I-2,JOSE GALVEZ,00004488,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11354,14691091718362865893,2020,03,060306,CAJAMARCA,CELENDIN,JOSE GALVEZ,GOBIERNO REGIONAL,I-2,00004488,JOSE GALVEZ,4,4,0,1,1,0,1,1,0,0,0,2,0,3,0,1,3,2,AMBIGUA,0
00004484,2020,3,0,1,0,1,CAJAMARCA,CELENDIN,OXAMARCA,GOBIERNO REGIONAL,I-2,OXAMARCA,00004484,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11358,4169305487574165728,2020,03,060308,CAJAMARCA,CELENDIN,OXAMARCA,GOBIERNO REGIONAL,I-2,00004484,OXAMARCA,3,3,0,1,1,0,1,0,0,0,0,1,0,2,0,1,3,2,AMBIGUA,0
00004488,2020,3,0,1,0,1,CAJAMARCA,CELENDIN,JOSE GALVEZ,GOBIERNO REGIONAL,I-2,JOSE GALVEZ,00004488,2020,03,True,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,11363,14691091718362865893,2020,03,060306,CAJAMARCA,CELENDIN,JOSE GALVEZ,GOBIERNO REGIONAL,I-2,00004488,JOSE GALVEZ,4,4,0,1,1,0,1,1,0,0,0,2,0,3,0,1,3,2,AMBIGUA,0
