codigo_ipress,anio,mes,departamento,provincia,distrito,sector,categoria,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,_archivo,_registro
00018011,2024,1,LIMA,LIMA,JESUS MARIA,ESSALUD,III-E,100,175,40,274,data\raw\Capacidad\ConsultaA_2024_v22.csv,3347
00006208,2024,1,LIMA,LIMA,LIMA,MINSA,III-2,397,319,72,459,data\raw\Capacidad\ConsultaA_2024_v22.csv,3367
00010434,2024,1,LIMA,LIMA,SANTA ANITA,ESSALUD,II-E,188,55,13,111,data\raw\Capacidad\ConsultaA_2024_v22.csv,3420
00016094,2024,1,LIMA,LIMA,RIMAC,SANIDAD DE LA POLICIA NACIONAL DEL PERU,II-1,24,11,0,65,data\raw\Capacidad\ConsultaA_2024_v22.csv,3425
00027565,2024,3,LIMA,LIMA,COMAS,ESSALUD,II-1,121,196,12,185,data\raw\Capacidad\ConsultaA_2024_v22.csv,3474
00006211,2024,2,LIMA,LIMA,PUEBLO LIBRE,MINSA,III-1,138,300,50,296,data\raw\Capacidad\ConsultaA_2024_v22.csv,3499
00016918,2024,2,LIMA,LIMA,SAN BORJA,MINSA,III-2,241,374,95,528,data\raw\Capacidad\ConsultaA_2024_v22.csv,3501
00016094,2024,3,LIMA,LIMA,RIMAC,SANIDAD DE LA POLICIA NACIONAL DEL PERU,II-1,21,21,0,65,data\raw\Capacidad\ConsultaA_2024_v22.csv,3541
00006214,2024,3,LIMA,LIMA,MAGDALENA DEL MAR,MINSA,III-E,590,77,27,117,data\raw\Capacidad\ConsultaA_2024_v22.csv,3802
00005946,2024,1,LIMA,LIMA,EL AGUSTINO,MINSA,III-1,606,511,239,657,data\raw\Capacidad\ConsultaA_2024_v22.csv,4145
00008564,2024,2,LIMA,LIMA,SAN MIGUEL,ESSALUD,II-1,49,95,0,81,data\raw\Capacidad\ConsultaA_2024_v22.csv,4163
00008489,2024,2,LIMA,LIMA,MIRAFLORES,ESSALUD,II-2,88,241,35,169,data\raw\Capacidad\ConsultaA_2024_v22.csv,4212
00016918,2024,1,LIMA,LIMA,SAN BORJA,MINSA,III-2,241,372,95,528,data\raw\Capacidad\ConsultaA_2024_v22.csv,4265
00006212,2024,2,LIMA,LIMA,LA VICTORIA,MINSA,III-E,56,149,8,143,data\raw\Capacidad\ConsultaA_2024_v22.csv,4700
00006217,2024,2,LIMA,LIMA,LIMA,MINSA,III-2,7,89,18,79,data\raw\Capacidad\ConsultaA_2024_v22.csv,4712
00008318,2024,1,LIMA,LIMA,SANTA ANITA,ESSALUD,II-1,40,89,6,70,data\raw\Capacidad\ConsultaA_2024_v22.csv,4810
00008741,2024,1,LIMA,LIMA,VILLA EL SALVADOR,ESSALUD,II-1,72,109,3,85,data\raw\Capacidad\ConsultaA_2024_v22.csv,4924
00005883,2024,2,LIMA,LIMA,ATE,MINSA,II-1,50,98,0,94,data\raw\Capacidad\ConsultaA_2024_v22.csv,4976
00008720,2024,1,LIMA,LIMA,JESUS MARIA,ESSALUD,III-2,1537,1609,413,1673,data\raw\Capacidad\ConsultaA_2024_v22.csv,4989
00005946,2024,2,LIMA,LIMA,EL AGUSTINO,MINSA,III-1,606,514,240,658,data\raw\Capacidad\ConsultaA_2024_v22.csv,5006
00007734,2024,3,LIMA,LIMA,CHORRILLOS,MINSA,III-E,45,105,23,56,data\raw\Capacidad\ConsultaA_2024_v22.csv,5054
00008502,2024,2,LIMA,LIMA,LIMA,ESSALUD,II-2,164,362,82,240,data\raw\Capacidad\ConsultaA_2024_v22.csv,5114
00013914,2024,1,LIMA,LIMA,RIMAC,SANIDAD DEL EJERCITO DEL PERU,I-4,4,10,0,14,data\raw\Capacidad\ConsultaA_2024_v22.csv,5238
00005883,2024,1,LIMA,LIMA,ATE,MINSA,II-1,50,101,0,91,data\raw\Capacidad\ConsultaA_2024_v22.csv,5375
00012923,2024,1,LIMA,LIMA,PUENTE PIEDRA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,0,8,0,8,data\raw\Capacidad\ConsultaA_2024_v22.csv,5392
00007734,2024,1,LIMA,LIMA,CHORRILLOS,MINSA,III-E,46,89,22,27,data\raw\Capacidad\ConsultaA_2024_v22.csv,5467
00006214,2024,6,LIMA,LIMA,MAGDALENA DEL MAR,MINSA,III-E,590,91,27,120,data\raw\Capacidad\ConsultaA_2024_v22.csv,5592
00007632,2024,6,LIMA,LIMA,PUENTE PIEDRA,MINSA,II-2,114,130,55,211,data\raw\Capacidad\ConsultaA_2024_v22.csv,5593
00006211,2024,6,LIMA,LIMA,PUEBLO LIBRE,MINSA,III-1,133,297,50,293,data\raw\Capacidad\ConsultaA_2024_v22.csv,5760
00007733,2024,7,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-2,90,132,53,72,data\raw\Capacidad\ConsultaA_2024_v22.csv,5949
00005948,2024,8,LIMA,LIMA,SANTA ANITA,MINSA,III-E,209,92,38,84,data\raw\Capacidad\ConsultaA_2024_v22.csv,6007
00008489,2024,8,LIMA,LIMA,MIRAFLORES,ESSALUD,II-2,84,258,34,206,data\raw\Capacidad\ConsultaA_2024_v22.csv,6025
00005947,2024,8,LIMA,LIMA,LURIGANCHO,MINSA,II-2,63,169,13,142,data\raw\Capacidad\ConsultaA_2024_v22.csv,6081
00023159,2024,6,LIMA,LIMA,VILLA EL SALVADOR,MINSA,II-2,260,461,35,476,data\raw\Capacidad\ConsultaA_2024_v22.csv,6209
00008502,2024,6,LIMA,LIMA,LIMA,ESSALUD,II-2,168,362,51,241,data\raw\Capacidad\ConsultaA_2024_v22.csv,6213
00027565,2024,8,LIMA,LIMA,COMAS,ESSALUD,II-1,108,217,12,197,data\raw\Capacidad\ConsultaA_2024_v22.csv,6298
00014718,2024,8,LIMA,LIMA,SAN MIGUEL,SANIDAD DE LA POLICIA NACIONAL DEL PERU,II-E,26,25,0,38,data\raw\Capacidad\ConsultaA_2024_v22.csv,6317
00008318,2024,7,LIMA,LIMA,SANTA ANITA,ESSALUD,II-1,42,84,5,69,data\raw\Capacidad\ConsultaA_2024_v22.csv,6472
00005987,2024,7,LIMA,LIMA,SAN JUAN DE MIRAFLORES,MINSA,III-1,375,319,145,532,data\raw\Capacidad\ConsultaA_2024_v22.csv,6560
00008741,2024,6,LIMA,LIMA,VILLA EL SALVADOR,ESSALUD,II-1,66,96,3,85,data\raw\Capacidad\ConsultaA_2024_v22.csv,6619
00006208,2024,6,LIMA,LIMA,LIMA,MINSA,III-2,397,319,72,459,data\raw\Capacidad\ConsultaA_2024_v22.csv,6640
00006206,2024,6,LIMA,LIMA,LIMA,MINSA,III-1,483,453,183,210,data\raw\Capacidad\ConsultaA_2024_v22.csv,6642
00006206,2024,7,LIMA,LIMA,LIMA,MINSA,III-1,472,453,173,210,data\raw\Capacidad\ConsultaA_2024_v22.csv,6804
00006212,2024,6,LIMA,LIMA,LA VICTORIA,MINSA,III-E,56,150,13,143,data\raw\Capacidad\ConsultaA_2024_v22.csv,6835
00018011,2024,7,LIMA,LIMA,JESUS MARIA,ESSALUD,III-E,118,179,26,267,data\raw\Capacidad\ConsultaA_2024_v22.csv,7006
00007632,2024,7,LIMA,LIMA,PUENTE PIEDRA,MINSA,II-2,111,129,55,212,data\raw\Capacidad\ConsultaA_2024_v22.csv,7200
00005948,2024,7,LIMA,LIMA,SANTA ANITA,MINSA,III-E,209,71,23,84,data\raw\Capacidad\ConsultaA_2024_v22.csv,7289
00005987,2024,8,LIMA,LIMA,SAN JUAN DE MIRAFLORES,MINSA,III-1,371,326,148,532,data\raw\Capacidad\ConsultaA_2024_v22.csv,7326
00007632,2024,4,LIMA,LIMA,PUENTE PIEDRA,MINSA,II-2,114,128,55,209,data\raw\Capacidad\ConsultaA_2024_v22.csv,7391
00009251,2024,6,LIMA,LIMA,LA VICTORIA,ESSALUD,III-2,1119,1158,305,1114,data\raw\Capacidad\ConsultaA_2024_v22.csv,7553
00007733,2024,8,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-2,91,93,35,76,data\raw\Capacidad\ConsultaA_2024_v22.csv,7573
00005883,2024,6,LIMA,LIMA,ATE,MINSA,II-1,58,103,0,97,data\raw\Capacidad\ConsultaA_2024_v22.csv,7607
00009188,2024,7,LIMA,LIMA,LIMA,ESSALUD,II-1,50,91,0,87,data\raw\Capacidad\ConsultaA_2024_v22.csv,7621
00007734,2024,7,LIMA,LIMA,CHORRILLOS,MINSA,III-E,36,92,15,49,data\raw\Capacidad\ConsultaA_2024_v22.csv,7794
00008353,2024,3,LIMA,LIMA,ATE,ESSALUD,II-1,66,110,23,96,data\raw\Capacidad\ConsultaA_2024_v22.csv,7859
00008741,2024,3,LIMA,LIMA,VILLA EL SALVADOR,ESSALUD,II-1,72,97,3,85,data\raw\Capacidad\ConsultaA_2024_v22.csv,7860
00023159,2024,8,LIMA,LIMA,VILLA EL SALVADOR,MINSA,II-2,260,481,33,480,data\raw\Capacidad\ConsultaA_2024_v22.csv,7902
00006209,2024,8,LIMA,LIMA,LIMA,MINSA,III-2,131,100,41,130,data\raw\Capacidad\ConsultaA_2024_v22.csv,7945
00005987,2024,6,LIMA,LIMA,SAN JUAN DE MIRAFLORES,MINSA,III-1,376,262,198,518,data\raw\Capacidad\ConsultaA_2024_v22.csv,8063
00016918,2024,8,LIMA,LIMA,SAN BORJA,MINSA,III-2,241,404,79,525,data\raw\Capacidad\ConsultaA_2024_v22.csv,8178
00008720,2024,4,LIMA,LIMA,JESUS MARIA,ESSALUD,III-2,1528,1577,413,1694,data\raw\Capacidad\ConsultaA_2024_v22.csv,8241
00007634,2024,6,LIMA,LIMA,COMAS,MINSA,III-1,289,251,116,272,data\raw\Capacidad\ConsultaA_2024_v22.csv,8260
00008489,2024,6,LIMA,LIMA,MIRAFLORES,ESSALUD,II-2,83,241,27,169,data\raw\Capacidad\ConsultaA_2024_v22.csv,8457
00016918,2024,6,LIMA,LIMA,SAN BORJA,MINSA,III-2,241,430,82,514,data\raw\Capacidad\ConsultaA_2024_v22.csv,8464
00008741,2024,8,LIMA,LIMA,VILLA EL SALVADOR,ESSALUD,II-1,64,96,3,90,data\raw\Capacidad\ConsultaA_2024_v22.csv,8528
00005946,2024,6,LIMA,LIMA,EL AGUSTINO,MINSA,III-1,595,511,238,652,data\raw\Capacidad\ConsultaA_2024_v22.csv,8567
00013914,2024,7,LIMA,LIMA,RIMAC,SANIDAD DEL EJERCITO DEL PERU,I-4,4,8,0,16,data\raw\Capacidad\ConsultaA_2024_v22.csv,8665
