codigo_ipress,anio,mes,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,departamento,provincia,distrito,sector,categoria,nombre_ipress,_codigo_original,_anio_original,_mes_original,_clave_valida,_archivo,_registro,_huella_fila,original_ANHO,original_MES,original_UBIGEO,original_DEPARTAMENTO,original_PROVINCIA,original_DISTRITO,original_SECTOR,original_CATEGORIA,original_CO_IPRESS,original_RAZON_SOC,original_CA_CONSULTORIOS,original_CA_CONSULTORIOS_FN,original_CA_CAMAS,original_CA_MEDICOS_TOTAL,original_CA_MEDICOS_SERUM,original_CA_MEDICOS_RESIDENTES,original_CA_ENFERMERAS,original_CA_ODONTOLOGOS,original_CA_PSICOLOGOS,original_CA_NUTRICIONISTAS,original_CA_TECNOLOGOS_MEDICOS,original_CA_OBSTETRICES,original_CA_FARMACEUTICOS,original_CA_AUXILIARES,original_CA_OTROS_PROF,original_CA_AMBULANCIAS,filas_clave
00001151,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,RIO NEGRO,00001151,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9440,184771177461801426,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001151,RIO NEGRO,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00005359,2024,7,0,1,0,2,LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,GOBIERNO REGIONAL,I-2,SANAGORAN,00005359,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9464,3406217861805069975,2024,07,130906,LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,GOBIERNO REGIONAL,I-2,00005359,SANAGORAN,5,12,0,1,0,0,2,1,1,1,0,3,0,5,1,1,2
00007240,2024,7,0,1,0,1,LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,GOBIERNO REGIONAL,I-2,HUALASGOSDAY,00007240,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9465,793436566930791246,2024,07,130906,LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,GOBIERNO REGIONAL,I-2,00007240,HUALASGOSDAY,3,6,0,1,1,0,1,0,0,0,0,1,0,1,0,1,2
00001139,2024,7,0,1,0,1,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-2,VILLA AMERICA,00001139,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9497,3442084147616928574,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-2,00001139,VILLA AMERICA,3,6,0,1,1,0,1,0,0,0,0,1,0,2,0,0,24
00001141,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,NUEVA ESPERANZA,00001141,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9498,11094453358318165192,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001141,NUEVA ESPERANZA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001152,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,PLAYA CALIENTE,00001152,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9499,12566882687523267112,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001152,PLAYA CALIENTE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001107,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,CONVENTO,00001107,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9500,4040851472247073650,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001107,CONVENTO,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001137,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,ALTO ISCOZACIN,00001137,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9501,6991469723587543536,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001137,ALTO ISCOZACIN,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001140,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,CENTRO ESPERANZA,00001140,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9502,4843945552822940160,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001140,CENTRO ESPERANZA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001147,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,CENTRO COMPARACHIMAS,00001147,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9503,11278949696125838198,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001147,CENTRO COMPARACHIMAS,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001153,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,QUEBRADA PACO,00001153,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9504,97201178627060018,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001153,QUEBRADA PACO,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001138,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,TSOPIS,00001138,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9505,2097483845383994230,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001138,TSOPIS,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001143,2024,7,0,1,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-2,PUERTO MAYRO,00001143,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9506,6911455887198352624,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-2,00001143,PUERTO MAYRO,2,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,24
00001149,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,SANTA MARIA,00001149,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9507,470243951820808849,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001149,SANTA MARIA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001151,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,RIO NEGRO,00001151,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9508,184771177461801426,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00001151,RIO NEGRO,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00017801,2024,7,0,0,0,0,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,P.S. AGUARUNA,00017801,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9509,7837465285898516762,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-1,00017801,P.S. AGUARUNA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
00001096,2024,7,0,1,0,1,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-2,SAN CRISTOBAL,00001096,2024,07,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,9510,10179599573623811188,2024,07,190304,PASCO,OXAPAMPA,PALCAZU,GOBIERNO REGIONAL,I-2,00001096,SAN CRISTOBAL,3,6,0,1,1,0,1,0,0,0,0,1,0,1,0,0,24
