ANHO,MES,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,SECTOR,CATEGORIA,CO_IPRESS,RAZON_SOC,ID_HOSPITALIZACION,HOSPITALIZACION,NRO_TOTAL_HOSPIT_ING,NRO_TOTAL_HOSPIT_EGR,NRO_TOTAL_ESTANCIAS,NRO_TOTAL_PACIENTES_CAMAS,NRO_TOTAL_CAMAS,NRO_TOTAL_CAMAS_DISPONIB,NRO_TOTAL_FALLECIDOS
2019,6,60701,CAJAMARCA,HUALGAYOC,BAMBAMARCA,GOBIERNO REGIONAL,I-1,9870,PUSOC,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,6,40206,AREQUIPA,CAMANA,OCOÑA,GOBIERNO REGIONAL,I-3,1348,CENTRO DE SALUD OCOÑA,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,6,60701,CAJAMARCA,HUALGAYOC,BAMBAMARCA,GOBIERNO REGIONAL,I-2,4788,HUANGAMARCA,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,6,40206,AREQUIPA,CAMANA,OCOÑA,GOBIERNO REGIONAL,I-2,1363,LA PLANCHADA,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,6,40206,AREQUIPA,CAMANA,OCOÑA,GOBIERNO REGIONAL,I-1,1364,PESCADORES,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,6,40203,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,GOBIERNO REGIONAL,I-2,1366,LA EUGENIA,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,6,240101,TUMBES,TUMBES,TUMBES,ESSALUD,II-1,12272,CARLOS ALBERTO CORTEZ JIMENEZ,241900,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ,37,40,246,222,8,240,1
2019,7,30601,APURIMAC,CHINCHEROS,CHINCHEROS,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,11894,PNP SANIDAD CHINCHEROS,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,7,200104,PIURA,PIURA,CASTILLA,ESSALUD,0,16363,INSTITUTO PERUANO DE OFTALMOLOGIA,240000,HOSPITALIZACIÓN,153,145,166,175,6,186,0
2019,6,60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,PRIVADO,I-2,25658,BM CORPORACIÓN OFTALMOLÓGICA,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,3,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN L.,ESSALUD,I-3,10222,CENTRO  DE ATENCION PRIMARIA II LUIS PALZA LEVANO,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,2,100321,HUANUCO,DOS DE MAYO,SHUNQUI,GOBIERNO REGIONAL,I-2,846,SHUNQUI,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,3,230101,TACNA,TACNA,TACNA,ESSALUD,I-3,10190,CENTRO  DE    ATENCION PRIMARIA  III  METROPOLITANO DE TACNA,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,3,60801,CAJAMARCA,JAEN,JAEN,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,18950,POSTA MEDICA PNP JAEN,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,3,20101,ANCASH,HUARAZ,HUARAZ,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-4,10205,POLICLINICO PNP HUARAZ,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,3,150112,LIMA,LIMA,INDEPENDENCIA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,12741,POSTA MEDICA PNP INDEPENDENCIA,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,3,150107,LIMA,LIMA,CHACLACAYO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,11227,POSTA MEDICA PNP CHACLACAYO,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,3,70106,CALLAO,CALLAO,VENTANILLA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,10573,POSTA MEDICA PNP VENTANILLA,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,2,60401,CAJAMARCA,CHOTA,CHOTA,GOBIERNO REGIONAL,II-1,4659,HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS,240100,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ,57,68,239,239,13,364,0
2019,2,60401,CAJAMARCA,CHOTA,CHOTA,GOBIERNO REGIONAL,II-1,4659,HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS,241400,HOSPITALIZACIÓN QUIRÚRGICA GINECO - OBSTETRICIA ,176,189,358,358,22,616,0
