"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","ID_HOSPITALIZACION","HOSPITALIZACION","NRO_TOTAL_HOSPIT_ING","NRO_TOTAL_HOSPIT_EGR","NRO_TOTAL_ESTANCIAS","NRO_TOTAL_PACIENTES_CAMAS","NRO_TOTAL_CAMAS","NRO_TOTAL_CAMAS_DISPONIB","NRO_TOTAL_FALLECIDOS"
"2020","03","170101","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","GOBIERNO REGIONAL","II-1","00002698","SANTA ROSA","250105","UNIDAD DE CUIDADOS CRITICOS UNIDAD  DE CUIDADOS INTENSIVOS  (UCI) NEONATOLOGÍA","14","9","37","14","7","217","0"
"2020","03","170101","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","GOBIERNO REGIONAL","II-1","00002698","SANTA ROSA","243200","HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA","182","181","341","182","25","775","0"
"2020","03","170101","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","GOBIERNO REGIONAL","II-1","00002698","SANTA ROSA","241600","HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ","272","265","708","272","37","1147","0"
"2020","03","170101","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","GOBIERNO REGIONAL","II-1","00002698","SANTA ROSA","241800","HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ","264","238","1324","264","148","4588","0"
"2020","03","170101","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","GOBIERNO REGIONAL","II-1","00002698","SANTA ROSA","242300","HOSPITALIZACIÓN DE PEDIATRÍA  PEDIATRÍA  GENERAL ","138","130","536","138","31","961","0"
"2020","03","170101","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","GOBIERNO REGIONAL","II-1","00002698","SANTA ROSA","241200","HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA ","43","34","248","43","20","620","0"
"2020","03","170101","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","GOBIERNO REGIONAL","II-1","00002698","SANTA ROSA","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","102","69","293","102","34","1054","0"
"2020","03","170101","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","GOBIERNO REGIONAL","II-1","00002698","SANTA ROSA","250100","UNIDAD DE CUIDADOS CRITICOS UNIDAD  DE CUIDADOS INTENSIVOS GENERALES (UCI) ","5","3","7","5","7","217","0"
"2020","03","170101","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","GOBIERNO REGIONAL","II-1","00002698","SANTA ROSA","241500","HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ","28","28","88","28","7","217","0"
"2020","03","220101","SAN MARTIN","MOYOBAMBA","MOYOBAMBA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00018077","POLICLINICO PNP MOYOBAMBA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","03","120202","JUNIN","CONCEPCION","ACO","GOBIERNO REGIONAL","I-1","00000746","QUICHA CHICO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","03","120211","JUNIN","CONCEPCION","MITO","GOBIERNO REGIONAL","I-1","00000748","MITO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","03","120213","JUNIN","CONCEPCION","ORCOTUNA","GOBIERNO REGIONAL","I-3","00000751","ORCOTUNA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","090203","HUANCAVELICA","ACOBAMBA","ANTA","GOBIERNO REGIONAL","I-1","00003941","PUESTO DE SALUD MANYACC","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","090203","HUANCAVELICA","ACOBAMBA","ANTA","GOBIERNO REGIONAL","I-1","00011230","PUESTO DE SALUD RAYANNIYOCC","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","090203","HUANCAVELICA","ACOBAMBA","ANTA","GOBIERNO REGIONAL","I-3","00003939","CENTRO DE SALUD ANTA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA","PRIVADO","II-1","00012761","CLINICA SAN LORENZO S.R.L.","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","7","6","14","18","14","406","0"
"2020","02","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA","PRIVADO","II-1","00012761","CLINICA SAN LORENZO S.R.L.","240400","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE TÓRAX Y CARDIOVASCULAR ","1","1","1","11","12","406","0"
