"ANHO";"MES";"UBIGEO";"DEPARTAMENTO";"PROVINCIA";"DISTRITO";"SECTOR";"CATEGORIA";"CO_IPRESS";"RAZON_SOC";"ID_HOSPITALIZACION";"HOSPITALIZACION";"NRO_TOTAL_HOSPIT_ING";"NRO_TOTAL_HOSPIT_EGR";"NRO_TOTAL_ESTANCIAS";"NRO_TOTAL_PACIENTES_CAMAS";"NRO_TOTAL_CAMAS";"DIAS_CAMA_DISPONIBLE";"NRO_TOTAL_FALLECIDOS"
"2022";"03";"160601";"LORETO";"UCAYALI";"CONTAMANA";"GOBIERNO REGIONAL";"II-1";"00000162";"HOSPITAL II-I  CONTAMANA";"241800";"HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ";"87";"74";"48";"11";"12";"14";"0"
"2022";"03";"160601";"LORETO";"UCAYALI";"CONTAMANA";"GOBIERNO REGIONAL";"II-1";"00000162";"HOSPITAL II-I  CONTAMANA";"242000";"HOSPITALIZACIÓN DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS ";"82";"10";"85";"11";"12";"14";"0"
"2022";"03";"160601";"LORETO";"UCAYALI";"CONTAMANA";"GOBIERNO REGIONAL";"II-1";"00000162";"HOSPITAL II-I  CONTAMANA";"242400";"HOSPITALIZACIÓN DE PEDIATRÍA ADOLESCENTES ";"69";"10";"90";"11";"12";"16";"0"
"2022";"03";"160601";"LORETO";"UCAYALI";"CONTAMANA";"GOBIERNO REGIONAL";"II-1";"00000162";"HOSPITAL II-I  CONTAMANA";"241600";"HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ";"80";"56";"78";"11";"12";"14";"0"
"2022";"03";"150108";"LIMA";"LIMA";"CHORRILLOS";"PRIVADO";"II-2";"00010251";"CLINICA MAISON DE SANTE DEL SUR";"240000";"HOSPITALIZACIÓN";"66";"65";"338";"261";"30";"930";"0"
"2022";"03";"150108";"LIMA";"LIMA";"CHORRILLOS";"PRIVADO";"II-2";"00010251";"CLINICA MAISON DE SANTE DEL SUR";"241400";"HOSPITALIZACIÓN QUIRÚRGICA GINECO - OBSTETRICIA ";"9";"10";"35";"124";"4";"140";"0"
"2022";"03";"150108";"LIMA";"LIMA";"CHORRILLOS";"PRIVADO";"II-2";"00010251";"CLINICA MAISON DE SANTE DEL SUR";"250100";"UNIDAD DE CUIDADOS CRITICOS UNIDAD  DE CUIDADOS INTENSIVOS GENERALES (UCI) ";"10";"6";"81";"81";"143";"224";"0"
"2022";"03";"120125";"JUNIN";"HUANCAYO";"PILCOMAYO";"GOBIERNO REGIONAL";"I-3";"00000719";"PILCOMAYO";"NE_0002";"";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2022";"03";"120134";"JUNIN";"HUANCAYO";"SICAYA";"GOBIERNO REGIONAL";"I-3";"00000726";"SICAYA";"NE_0002";"";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2022";"03";"120114";"JUNIN";"HUANCAYO";"EL TAMBO";"GOBIERNO REGIONAL";"I-1";"00000733";"CULLPA";"NE_0002";"";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2022";"03";"120114";"JUNIN";"HUANCAYO";"EL TAMBO";"GOBIERNO REGIONAL";"I-1";"00000712";"AZA";"NE_0002";"";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2022";"03";"120114";"JUNIN";"HUANCAYO";"EL TAMBO";"GOBIERNO REGIONAL";"I-1";"00000734";"COCHAS GRANDE";"NE_0002";"";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
