archivo,fila_csv_aproximada,regla,severidad,descripcion,anio,mes,codigo_ipress,nombre_ipress,servicio_hospitalizacion,valores_relevantes,en_alcance_modelo,estado_revision
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,20867,Q05,REVISAR,Cero camas con actividad hospitalaria,2016,01,00018580,GUILLERMO KAELIN DE LA FUENTE,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA  ,"{""NRO_TOTAL_CAMAS"": ""0"", ""NRO_TOTAL_HOSPIT_ING"": ""57"", ""NRO_TOTAL_HOSPIT_EGR"": ""55"", ""NRO_TOTAL_PACIENTES_CAMAS"": ""0"", ""NRO_TOTAL_ESTANCIAS"": ""186""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,20869,Q05,REVISAR,Cero camas con actividad hospitalaria,2016,01,00018580,GUILLERMO KAELIN DE LA FUENTE,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ,"{""NRO_TOTAL_CAMAS"": ""0"", ""NRO_TOTAL_HOSPIT_ING"": ""186"", ""NRO_TOTAL_HOSPIT_EGR"": ""180"", ""NRO_TOTAL_PACIENTES_CAMAS"": ""0"", ""NRO_TOTAL_ESTANCIAS"": ""170""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,21057,Q05,REVISAR,Cero camas con actividad hospitalaria,2016,05,00016094,UNIDAD EJECUTORA 020: SANIDAD DE LA PNP,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ,"{""NRO_TOTAL_CAMAS"": ""0"", ""NRO_TOTAL_HOSPIT_ING"": ""2"", ""NRO_TOTAL_HOSPIT_EGR"": ""2"", ""NRO_TOTAL_PACIENTES_CAMAS"": ""0"", ""NRO_TOTAL_ESTANCIAS"": ""11""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,21059,Q05,REVISAR,Cero camas con actividad hospitalaria,2016,05,00016094,UNIDAD EJECUTORA 020: SANIDAD DE LA PNP,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ,"{""NRO_TOTAL_CAMAS"": ""0"", ""NRO_TOTAL_HOSPIT_ING"": ""2"", ""NRO_TOTAL_HOSPIT_EGR"": ""1"", ""NRO_TOTAL_PACIENTES_CAMAS"": ""0"", ""NRO_TOTAL_ESTANCIAS"": ""5""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,21060,Q05,REVISAR,Cero camas con actividad hospitalaria,2016,05,00016094,UNIDAD EJECUTORA 020: SANIDAD DE LA PNP,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ,"{""NRO_TOTAL_CAMAS"": ""0"", ""NRO_TOTAL_HOSPIT_ING"": ""33"", ""NRO_TOTAL_HOSPIT_EGR"": ""33"", ""NRO_TOTAL_PACIENTES_CAMAS"": ""0"", ""NRO_TOTAL_ESTANCIAS"": ""87""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,21061,Q05,REVISAR,Cero camas con actividad hospitalaria,2016,05,00016094,UNIDAD EJECUTORA 020: SANIDAD DE LA PNP,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA ,"{""NRO_TOTAL_CAMAS"": ""0"", ""NRO_TOTAL_HOSPIT_ING"": ""3"", ""NRO_TOTAL_HOSPIT_EGR"": ""3"", ""NRO_TOTAL_PACIENTES_CAMAS"": ""0"", ""NRO_TOTAL_ESTANCIAS"": ""11""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,21062,Q05,REVISAR,Cero camas con actividad hospitalaria,2016,05,00016094,UNIDAD EJECUTORA 020: SANIDAD DE LA PNP,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA  ,"{""NRO_TOTAL_CAMAS"": ""0"", ""NRO_TOTAL_HOSPIT_ING"": ""4"", ""NRO_TOTAL_HOSPIT_EGR"": ""4"", ""NRO_TOTAL_PACIENTES_CAMAS"": ""0"", ""NRO_TOTAL_ESTANCIAS"": ""18""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,21063,Q05,REVISAR,Cero camas con actividad hospitalaria,2016,05,00016094,UNIDAD EJECUTORA 020: SANIDAD DE LA PNP,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ,"{""NRO_TOTAL_CAMAS"": ""0"", ""NRO_TOTAL_HOSPIT_ING"": ""36"", ""NRO_TOTAL_HOSPIT_EGR"": ""30"", ""NRO_TOTAL_PACIENTES_CAMAS"": ""0"", ""NRO_TOTAL_ESTANCIAS"": ""257""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,723,Q06,ERROR,Pacientes-día positivos con cero días-cama disponibles,2016,02,00007632,HOSPITAL CARLOS LANFRANCO LA HOZ,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""4"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""0""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,2021,Q06,ERROR,Pacientes-día positivos con cero días-cama disponibles,2016,01,00007632,HOSPITAL CARLOS LANFRANCO LA HOZ,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""8"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""0""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,2406,Q06,ERROR,Pacientes-día positivos con cero días-cama disponibles,2016,03,00007632,HOSPITAL CARLOS LANFRANCO LA HOZ,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""5"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""0""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,4108,Q06,ERROR,Pacientes-día positivos con cero días-cama disponibles,2016,04,00007632,HOSPITAL CARLOS LANFRANCO LA HOZ,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""2"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""0""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,9936,Q06,ERROR,Pacientes-día positivos con cero días-cama disponibles,2016,06,00005947,HOSPITAL DE MEDIANA COMPLEJIDAD JOSE AGURTO TELLO,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""2"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""0""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,18438,Q06,ERROR,Pacientes-día positivos con cero días-cama disponibles,2016,10,00005947,HOSPITAL DE MEDIANA COMPLEJIDAD JOSE AGURTO TELLO,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""3"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""0""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,20056,Q06,ERROR,Pacientes-día positivos con cero días-cama disponibles,2016,07,00007632,HOSPITAL CARLOS LANFRANCO LA HOZ,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""20"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""0""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,20519,Q06,ERROR,Pacientes-día positivos con cero días-cama disponibles,2016,09,00005947,HOSPITAL DE MEDIANA COMPLEJIDAD JOSE AGURTO TELLO,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""10"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""0""}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,16973,Q07,REVISAR,"Camas = pacientes-día × días del mes: posible desplazamiento, no confirmado",2016,12,00008671,HOSPITAL I MARINO MOLINA SCIPPA,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""36"", ""NRO_TOTAL_CAMAS"": ""1116"", ""ANHO"": ""2016"", ""MES"": ""12"", ""dias_mes"": 31.0}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,16974,Q07,REVISAR,"Camas = pacientes-día × días del mes: posible desplazamiento, no confirmado",2016,12,00008671,HOSPITAL I MARINO MOLINA SCIPPA,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""12"", ""NRO_TOTAL_CAMAS"": ""372"", ""ANHO"": ""2016"", ""MES"": ""12"", ""dias_mes"": 31.0}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_Hospitalizaciones_Especialidad_2016_v1.csv,16975,Q07,REVISAR,"Camas = pacientes-día × días del mes: posible desplazamiento, no confirmado",2016,12,00008671,HOSPITAL I MARINO MOLINA SCIPPA,HOSPITALIZACIÓN QUIRÚRGICA GINECO - OBSTETRICIA ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""3"", ""NRO_TOTAL_CAMAS"": ""93"", ""ANHO"": ""2016"", ""MES"": ""12"", ""dias_mes"": 31.0}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
