"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","CA_CONSULTORIOS","CA_CONSULTORIOS_FN","CA_CAMAS","CA_MEDICOS_TOTAL","CA_MEDICOS_SERUM","CA_MEDICOS_RESIDENTES","CA_ENFERMERAS","CA_ODONTOLOGOS","CA_PSICOLOGOS","CA_NUTRICIONISTAS","CA_TECNOLOGOS_MEDICOS","CA_OBSTETRICES","CA_FARMACEUTICOS","CA_AUXILIARES","CA_OTROS_PROF","CA_AMBULANCIAS"
"2020","12","090302","HUANCAVELICA","ANGARAES","ANCHONGA","GOBIERNO REGIONAL","I-1","00006930","HUARIRUMI - CHONTACANCHA","2","2","0","0","0","0","1","0","0","0","0","1","0","0","1","0"
"2020","12","090301","HUANCAVELICA","ANGARAES","LIRCAY","GOBIERNO REGIONAL","I-2","00007373","SOCCLLABAMBA","3","3","0","1","1","0","0","0","0","0","0","1","0","1","0","0"
"2020","12","090302","HUANCAVELICA","ANGARAES","ANCHONGA","GOBIERNO REGIONAL","I-2","00003961","SAN PABLO DE OCCO","5","5","0","1","1","0","2","1","0","0","0","2","0","2","0","0"
"2020","12","090306","HUANCAVELICA","ANGARAES","CONGALLA","GOBIERNO REGIONAL","I-1","00003973","YUNYACCASA","2","2","0","0","0","0","1","0","0","0","0","0","1","1","0","0"
"2020","12","090306","HUANCAVELICA","ANGARAES","CONGALLA","GOBIERNO REGIONAL","I-1","00003974","CARCOSI","2","2","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"2020","12","090306","HUANCAVELICA","ANGARAES","CONGALLA","GOBIERNO REGIONAL","I-1","00003975","LIRCAYCCASA","2","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"2020","12","090307","HUANCAVELICA","ANGARAES","HUANCA-HUANCA","GOBIERNO REGIONAL","I-1","00011200","CCARAPA","2","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","090301","HUANCAVELICA","ANGARAES","LIRCAY","GOBIERNO REGIONAL","I-1","00011201","CIENEGUILLA","2","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"2020","12","090304","HUANCAVELICA","ANGARAES","CCOCHACCASA","GOBIERNO REGIONAL","I-1","00011204","VELASCO PUCAPAMPA","2","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"2020","12","090301","HUANCAVELICA","ANGARAES","LIRCAY","GOBIERNO REGIONAL","I-1","00003948","UCHCUPAMPA","2","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","090310","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO","GOBIERNO REGIONAL","I-1","00003966","MAICENA","3","3","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"2020","12","090311","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA","GOBIERNO REGIONAL","I-1","00003967","SANTO TOMAS DE PATA","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"2020","12","090311","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA","GOBIERNO REGIONAL","I-1","00003968","CHUPACC","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"2020","12","090301","HUANCAVELICA","ANGARAES","LIRCAY","GOBIERNO REGIONAL","I-1","00011202","PAMPAHUASI","2","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"2020","12","090301","HUANCAVELICA","ANGARAES","LIRCAY","GOBIERNO REGIONAL","I-1","00011205","UNION PROGRESO PATAHUASI","3","3","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"2020","12","130105","LA LIBERTAD","TRUJILLO","LA ESPERANZA","GOBIERNO REGIONAL","II-1","00005226","HOSPITAL DISTRITAL JERUSALEN","8","11","15","28","0","3","16","1","1","1","0","14","7","32","18","1"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00006861","CHAUPECRUZ","2","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","12","060602","CAJAMARCA","CUTERVO","CALLAYUC","GOBIERNO REGIONAL","I-1","00004963","SANTA CLARA","2","2","0","0","0","0","1","0","0","0","0","0","0","2","0","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00005004","SAN PEDRO DE LA CAPILLA","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00006960","PAN DE AZUCAR","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"2020","12","060612","CAJAMARCA","CUTERVO","SANTO DOMINGO DE LA CAPILLA","GOBIERNO REGIONAL","I-1","00007370","CEDROPAMPA","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
