"ANHO";"MES";"UBIGEO";"DEPARTAMENTO";"PROVINCIA";"DISTRITO";"SECTOR";"CATEGORIA";"CO_IPRESS";"RAZON_SOC";"CA_CONSULTORIOS";"CA_CONSULTORIOS_FN";"CA_CAMAS";"CA_MEDICOS_TOTAL";"CA_MEDICOS_SERUM";"CA_MEDICOS_RESIDENTES";"CA_ENFERMERAS";"CA_ODONTOLOGOS";"CA_PSICOLOGOS";"CA_NUTRICIONISTAS";"CA_TECNOLOGOS_MEDICOS";"CA_OBSTETRICES";"CA_FARMACEUTICOS";"CA_AUXILIARES";"CA_OTROS_PROF";"CA_AMBULANCIAS"
"2026";"02";"080601";"CUSCO";"CANCHIS";"SICUANI";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-2";"00024663";"SANIDAD PNP  SICUANI";"7";"7";"0";"4";"4";"0";"5";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"2026";"01";"160605";"LORETO";"UCAYALI";"SARAYACU";"GOBIERNO REGIONAL";"I-4";"00000161";"CENTRO DE SALUD I-4 JUANCITO DE SARAYACU";"9";"6";"6";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"30";"2";"0"
"2026";"02";"070101";"CALLAO";"CALLAO";"CALLAO";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-2";"00010451";"POSTA DE SALUD POLICIAL  VIPOL";"0";"0";"0";"4";"2";"0";"3";"3";"3";"0";"0";"3";"0";"0";"0";"0"
"2026";"01";"150113";"LIMA";"LIMA";"JESUS MARIA";"ESSALUD";"I-3";"00008711";"POLICLINICO PABLO BERMUDEZ";"28";"68";"0";"80";"0";"0";"32";"8";"2";"1";"23";"5";"4";"55";"2";"0"
"2026";"02";"140106";"LAMBAYEQUE";"CHICLAYO";"LA VICTORIA";"GOBIERNO REGIONAL";"I-3";"00004330";"CHOSICA DEL NORTE";"6";"11";"0";"1";"0";"0";"4";"2";"2";"0";"0";"3";"0";"5";"0";"0"
"2026";"02";"150108";"LIMA";"LIMA";"CHORRILLOS";"ESSALUD";"I-3";"00008438";"POLICLINICO JUAN JOSE RODRIGUEZ LAZO";"36";"81";"0";"63";"0";"1";"38";"5";"3";"2";"19";"4";"6";"58";"2";"0"
"2026";"02";"110501";"ICA";"PISCO";"PISCO";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-2";"00011400";"POSTA MEDICA POLICIAL PISCO";"0";"0";"0";"3";"3";"0";"4";"3";"2";"0";"0";"1";"1";"0";"0";"0"
"2026";"02";"140101";"LAMBAYEQUE";"CHICLAYO";"CHICLAYO";"PRIVADO";"II-E";"00008730";"BM CLINICA";"2";"2";"16";"20";"0";"0";"30";"0";"2";"0";"6";"1";"2";"25";"10";"0"
"2026";"02";"090204";"HUANCAVELICA";"ACOBAMBA";"CAJA";"GOBIERNO REGIONAL";"I-1";"00007389";"RURUNMARCA";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"2026";"02";"070101";"CALLAO";"CALLAO";"CALLAO";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-2";"00010610";"POSTA MEDICA POLICIAL SEDE DIRAVPOL";"4";"4";"0";"3";"2";"0";"2";"3";"2";"0";"0";"1";"0";"1";"0";"0"
"2026";"02";"010701";"AMAZONAS";"UTCUBAMBA";"BAGUA GRANDE";"SANIDAD DE LA POLICIA NACIONAL DEL PERU";"I-3";"00018106";"POLICLINICO POLICIAL BAGUA GRANDE";"5";"7";"0";"3";"3";"0";"4";"2";"0";"0";"0";"1";"2";"3";"1";"1"
"2026";"02";"130101";"LA LIBERTAD";"TRUJILLO";"TRUJILLO";"PRIVADO";"I-3";"00027028";"EL GALENO DE ICA";"4";"4";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"3";"0"
