"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","CA_CONSULTORIOS","CA_CONSULTORIOS_FN","CA_CAMAS","CA_MEDICOS_TOTAL","CA_MEDICOS_SERUM","CA_MEDICOS_RESIDENTES","CA_ENFERMERAS","CA_ODONTOLOGOS","CA_PSICOLOGOS","CA_NUTRICIONISTAS","CA_TECNOLOGOS_MEDICOS","CA_OBSTETRICES","CA_FARMACEUTICOS","CA_AUXILIARES","CA_OTROS_PROF","CA_AMBULANCIAS"
"2017","12","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","12","12","8","13","0","1","10","3","3","1","1","11","1","7","31","1"
"2017","09","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","30","10","12","2","2","9","3","3","2","1","10","1","2","2","1"
"2017","11","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","12","12","8","13","1","2","10","3","3","1","1","11","1","7","31","1"
"2017","10","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","12","12","8","13","1","2","10","3","3","1","1","11","1","7","31","1"
"2017","08","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","30","10","12","2","2","9","3","3","2","1","10","1","2","2","1"
"2017","07","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","30","10","12","1","2","9","3","3","2","1","10","1","2","2","1"
"2017","06","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","30","10","12","2","0","9","3","3","2","1","10","1","2","2","1"
"2017","05","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","33","10","14","1","1","9","3","3","2","1","10","1","2","0","1"
"2017","04","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","33","10","13","1","1","9","3","3","2","1","10","1","2","2","1"
"2017","03","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","33","10","13","1","2","9","3","3","2","1","9","1","2","2","1"
"2017","02","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","33","10","12","1","0","9","3","3","2","1","10","1","2","2","1"
"2017","01","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","33","10","14","1","0","9","3","3","3","1","10","1","2","0","1"
"2017","07","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00023151","POLICLINICO CORI","9","9","29","47","0","0","12","0","0","0","3","3","3","24","8","1"
"2017","09","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00023151","POLICLINICO CORI","11","9","14","16","0","0","6","0","1","0","2","4","1","8","8","0"
"2017","05","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00023151","POLICLINICO CORI","11","9","14","16","0","0","6","0","1","0","2","4","1","8","8","0"
"2017","08","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00023151","POLICLINICO CORI","9","9","29","47","0","0","12","0","0","0","3","3","3","24","8","1"
"2017","04","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00023151","POLICLINICO CORI","9","9","29","47","0","0","12","0","0","0","3","3","3","24","8","1"
"2017","06","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00023151","POLICLINICO CORI","11","9","14","16","0","0","6","0","1","0","2","4","1","8","8","0"
"2017","12","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00023151","POLICLINICO CORI","11","9","14","16","0","0","6","0","1","0","2","4","1","8","8","0"
"2017","11","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00023151","POLICLINICO CORI","11","9","14","16","0","0","6","0","1","0","2","4","1","8","8","0"
"2017","10","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00023151","POLICLINICO CORI","11","9","14","16","0","0","6","0","1","0","2","4","1","8","8","0"
"2017","12","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","1","0","0","1","0","5","0","0","1","0","0","0","0"
"2017","10","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","1","0","0","1","0","6","0","0","1","0","0","0","0"
"2017","09","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","1","0","0","1","0","6","0","0","1","0","0","0","0"
"2017","08","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","0","0","0","1","0","6","0","0","1","0","0","0","0"
"2017","07","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","0","0","0","1","0","6","0","0","1","0","0","0","0"
"2017","06","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","1","0","0","1","0","6","0","0","1","0","0","0","0"
"2017","05","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","1","0","0","1","0","6","0","0","1","0","0","0","0"
"2017","04","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","0","0","0","1","0","6","0","0","1","0","0","0","0"
"2017","03","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","8","0","0","0","0","1","0","6","0","1","1","0","0","1","0"
"2017","01","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","1","0","0","1","0","6","0","1","1","0","1","0","0"
"2017","02","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","1","0","0","1","0","6","0","1","1","0","1","0","0"
"2017","11","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","9","0","0","1","0","0","1","0","6","0","0","1","0","0","0","0"
"2017","11","150130","LIMA","LIMA","SAN BORJA","SANIDAD DEL EJERCITO DEL PERU","I-2","00020682","EJERCITO PERUANO","3","5","0","3","0","0","5","2","2","0","0","0","1","1","0","0"
"2017","12","150130","LIMA","LIMA","SAN BORJA","SANIDAD DEL EJERCITO DEL PERU","I-2","00020682","EJERCITO PERUANO","3","5","0","3","0","0","5","2","2","0","0","0","1","1","0","0"
"2017","10","150130","LIMA","LIMA","SAN BORJA","SANIDAD DEL EJERCITO DEL PERU","I-2","00020682","EJERCITO PERUANO","3","5","0","3","0","0","6","4","2","0","0","0","1","1","0","0"
"2017","09","150130","LIMA","LIMA","SAN BORJA","SANIDAD DEL EJERCITO DEL PERU","I-2","00020682","EJERCITO PERUANO","3","6","0","4","0","0","7","4","2","0","0","0","1","1","0","0"
