"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","ID_HOSPITALIZACION","HOSPITALIZACION","NRO_TOTAL_HOSPIT_ING","NRO_TOTAL_HOSPIT_EGR","NRO_TOTAL_ESTANCIAS","NRO_TOTAL_PACIENTES_CAMAS","NRO_TOTAL_CAMAS","NRO_TOTAL_CAMAS_DISPONIB","NRO_TOTAL_FALLECIDOS"
"2021","01","040109","AREQUIPA","AREQUIPA","MARIANO MELGAR","PRIVADO","II-E","00019481","CLINICA J. PRADO SANTA MARIA E.I.R.L.","240000","HOSPITALIZACIÓN","390","383","612","640","35","1085","0"
"2021","01","061105","CAJAMARCA","SAN MIGUEL","EL PRADO","GOBIERNO REGIONAL","I-1","00004540","EL GUAYO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2021","01","061101","CAJAMARCA","SAN MIGUEL","SAN MIGUEL","GOBIERNO REGIONAL","I-1","00004541","TANON CAMPO ALEGRE","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2021","01","061105","CAJAMARCA","SAN MIGUEL","EL PRADO","GOBIERNO REGIONAL","I-1","00004542","QUINDEN BAJO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2021","01","150110","LIMA","LIMA","COMAS","PRIVADO","0","00013834","CENTRO DE REHABILITACION INFANTIL -  ARIE","NE_0002","","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002","NE_0002"
"2021","01","040516","AREQUIPA","CAYLLOMA","TAPAY","GOBIERNO REGIONAL","I-2","00001434","PUESTO DE SALUD TAPAY","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2021","01","150122","LIMA","LIMA","MIRAFLORES","PRIVADO","II-E","00016121","CENTRO MEDICO AVENDAÑO S.A.C.","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","75","75","83","75","5","155","0"
"2021","01","120101","JUNIN","HUANCAYO","HUANCAYO","PRIVADO","II-1","00008516","CLINICA SANTO DOMINGO","241800","HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ","9","10","41","40","4","124","0"
"2021","01","120101","JUNIN","HUANCAYO","HUANCAYO","PRIVADO","II-1","00008516","CLINICA SANTO DOMINGO","241500","HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ","18","17","28","31","4","124","0"
"2021","01","120101","JUNIN","HUANCAYO","HUANCAYO","PRIVADO","II-1","00008516","CLINICA SANTO DOMINGO","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","31","28","61","65","7","217","0"
"2021","01","110108","ICA","ICA","SALAS","GOBIERNO REGIONAL","I-3","00003363","GUADALUPE","241600","HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ","2","2","2","1","3","93","0"
"2021","01","110112","ICA","ICA","SUBTANJALLA","GOBIERNO REGIONAL","I-3","00003362","SUBTANJALLA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2021","01","110108","ICA","ICA","SALAS","GOBIERNO REGIONAL","I-2","00003384","PAMPA DE VILLACURI","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2021","01","110112","ICA","ICA","SUBTANJALLA","GOBIERNO REGIONAL","I-3","00003378","LA ANGOSTURA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
