anio,mes,ubigeo,departamento,provincia,distrito,sector,categoria_ipress,codigo_ipress,nombre_ipress,id_hospitalizacion,servicio_hospitalizacion,total_ingresos,total_egresos,total_estancias,total_pacientes_camas,total_camas,total_camas_disponibles,total_fallecidos,dias_mes,promedio_estancia,tasa_fallecidos,ratio_camas_disponibles,ocupacion_estimada,presion_ingresos_camas,rotacion_camas,diferencia_ingresos_egresos,nivel_riesgo,nivel_riesgo_codificado
2015,3,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,243400,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,14,10,189,287,20,620,0,31,18.9,0.0,31.0,0.4629032258064516,0.02258064516129032,0.5,4,bajo,0
2015,3,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,244800,HOSPITALIZACIÓN-HOSPITALIZACIÓN DE MEDICINA-GERIATRIA,19,15,263,321,20,620,0,31,17.533333333333335,0.0,31.0,0.5177419354838709,0.03064516129032258,0.75,4,bajo,0
2015,3,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,244900,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA NEURODEGENERATIVAS,32,23,545,671,44,1364,2,31,23.695652173913043,0.08695652173913043,31.0,0.49193548387096775,0.02346041055718475,0.5227272727272727,9,bajo,0
2015,3,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,245000,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA NEUROVASCULARES Y METABOLICAS,18,16,307,400,13,403,1,31,19.1875,0.0625,31.0,0.9925558312655087,0.04466501240694789,1.2307692307692308,2,alto,2
2015,3,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,245100,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA ENFERMEDADES INFECCIOSAS/TRANSMISIBLES DEL SISTEMA NERVIOSO,30,28,912,824,28,868,2,31,32.57142857142857,0.07142857142857142,31.0,0.9493087557603687,0.03456221198156682,1.0,2,alto,2
2015,3,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,245200,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA EPILEPSIA/EPILEPTOLOGIA,30,26,342,383,17,527,0,31,13.153846153846153,0.0,31.0,0.7267552182163188,0.056925996204933584,1.5294117647058822,4,medio,1
2015,3,150101,LIMA,LIMA,LIMA,MINSA,III-2,00006209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,250106,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROLÓGICA,8,5,86,113,5,155,4,31,17.2,0.8,31.0,0.7290322580645161,0.05161290322580645,1.0,3,medio,1
2015,3,150103,LIMA,LIMA,ATE,ESSALUD,II-1,00008353,ESSALUD - HOSPITAL II VITARTE,240100,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,171,169,363,312,11,341,0,31,2.1479289940828403,0.0,31.0,0.9149560117302052,0.501466275659824,15.363636363636363,2,alto,2
2015,3,150103,LIMA,LIMA,ATE,ESSALUD,II-1,00008353,ESSALUD - HOSPITAL II VITARTE,241200,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,37,41,323,302,10,310,0,31,7.878048780487805,0.0,31.0,0.9741935483870968,0.11935483870967742,4.1,-4,alto,2
2015,3,150103,LIMA,LIMA,ATE,ESSALUD,II-1,00008353,ESSALUD - HOSPITAL II VITARTE,241300,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,13,14,50,47,2,62,0,31,3.5714285714285716,0.0,31.0,0.7580645161290323,0.20967741935483872,7.0,-1,alto,2
2015,3,150103,LIMA,LIMA,ATE,ESSALUD,II-1,00008353,ESSALUD - HOSPITAL II VITARTE,241500,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA,65,64,108,129,5,155,0,31,1.6875,0.0,31.0,0.832258064516129,0.41935483870967744,12.8,1,alto,2
2015,3,150103,LIMA,LIMA,ATE,ESSALUD,II-1,00008353,ESSALUD - HOSPITAL II VITARTE,241900,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,94,84,738,959,31,961,7,31,8.785714285714286,0.08333333333333333,31.0,0.9979188345473465,0.09781477627471384,2.7096774193548385,10,alto,2
2015,3,150103,LIMA,LIMA,ATE,ESSALUD,II-1,00008353,ESSALUD - HOSPITAL II VITARTE,242300,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,72,72,258,248,9,279,0,31,3.5833333333333335,0.0,31.0,0.8888888888888888,0.25806451612903225,8.0,0,alto,2
2015,3,150103,LIMA,LIMA,ATE,ESSALUD,II-1,00008353,ESSALUD - HOSPITAL II VITARTE,250304,HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-MEDICINA,5,6,28,25,4,124,0,31,4.666666666666667,0.0,31.0,0.20161290322580644,0.04032258064516129,1.5,-1,bajo,0
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,240200,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE CABEZA Y CUELLO / MÁXILO FACIAL,32,38,402,293,11,341,0,31,10.578947368421053,0.0,31.0,0.8592375366568915,0.093841642228739,3.4545454545454546,-6,alto,2
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,240400,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE TÓRAX Y CARDIOVASCULAR,27,34,812,542,19,589,1,31,23.88235294117647,0.029411764705882353,31.0,0.9202037351443124,0.04584040747028863,1.7894736842105263,-7,alto,2
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,240700,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PEDIÁTRICA,33,87,621,624,21,651,0,31,7.137931034482759,0.0,31.0,0.9585253456221198,0.05069124423963134,4.142857142857143,-54,alto,2
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,240801,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA QUEMADOS,31,46,629,570,21,651,0,31,13.673913043478262,0.0,31.0,0.8755760368663594,0.047619047619047616,2.1904761904761907,-15,alto,2
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,240900,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,19,46,765,682,23,713,0,31,16.630434782608695,0.0,31.0,0.9565217391304348,0.02664796633941094,2.0,-27,alto,2
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,241200,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,30,73,1032,911,36,1116,0,31,14.136986301369863,0.0,31.0,0.8163082437275986,0.026881720430107527,2.0277777777777777,-43,medio,1
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,241300,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,12,15,182,214,7,217,0,31,12.133333333333333,0.0,31.0,0.9861751152073732,0.055299539170506916,2.142857142857143,-3,alto,2
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,242000,HOSPITALIZACIÓN DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,13,34,602,556,28,868,0,31,17.705882352941178,0.0,31.0,0.6405529953917051,0.014976958525345621,1.2142857142857142,-21,bajo,0
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,242300,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,0,185,2152,2394,79,2449,2,31,11.632432432432433,0.010810810810810811,31.0,0.9775418538178848,0.0,2.3417721518987342,-185,alto,2
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,242600,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA CARDIOLOGÍA PEDIÁTRICA,22,29,690,522,24,744,1,31,23.79310344827586,0.034482758620689655,31.0,0.7016129032258065,0.02956989247311828,1.2083333333333333,-7,medio,1
2015,3,150105,LIMA,LIMA,BREÑA,MINSA,III-2,00006216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,242700,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA DERMATOLOGÍA PEDIÁTRICA,7,35,271,265,10,310,0,31,7.742857142857143,0.0,31.0,0.8548387096774194,0.02258064516129032,3.5,-28,alto,2
