evaluacion,modelo,anio_prueba,accuracy,balanced_accuracy,precision_macro,recall_macro,specificity_macro,f1_macro,roc_auc_ovr_macro,probabilidad_maxima_promedio
temporal,Regresion_Logistica,2025.0,0.7162434502216848,0.6629221192547046,0.6510301344847309,0.6629221192547046,0.8539885991146686,0.6526905417553664,0.8431363125171742,0.6699316842566151
temporal,Random_Forest,2025.0,0.7879887142281338,0.7732054690929301,0.7375095048702492,0.7732054690929301,0.8946408064159849,0.7500883704061497,0.919736782071208,0.6798475276528381
temporal,XGBoost,2025.0,0.7904070939137444,0.7735630843085821,0.7467390319973589,0.7735630843085821,0.8949102630135638,0.7545542973802895,0.9235914432664477,0.7734131813049316
aleatoria_referencia,Regresion_Logistica,,0.7070827035197581,0.6861615139797318,0.6549293079452668,0.6861615139797318,0.8514209093668694,0.6649673271567359,0.8574883225782296,0.6703334446454375
aleatoria_referencia,Random_Forest,,0.7526452170157634,0.730952344478346,0.7038378401840815,0.730952344478346,0.8740597943168772,0.713243983189928,0.8949859029087798,0.6669980561252187
aleatoria_referencia,XGBoost,,0.7546966098034982,0.7341370700600279,0.7071438769881877,0.7341370700600279,0.8753773855177318,0.7163564031897716,0.8989204911722388,0.7571985125541687
