anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,regla,tipo,tipo_regla,umbral,umbral_proteccion,fase,probabilidades_sha256,predichos_bajo,proporcion_predicha_bajo,predichos_medio,proporcion_predicha_medio,predichos_alto,proporcion_predicha_alto,delta_proporcion_predicha_alto_vs_argmax,riesgo_expansion_alto
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7292637465051258,0.7090684787933706,0.7040629288657971,0.7090684787933706,0.7046006060575793,0.8670681607723981,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,91,0.043561512685495456,0.021202236719478098,argmax,regla_decision,argmax,,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1185,0.2760950605778192,1207,0.28122087604846224,1900,0.4426840633737186,0.0,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.728331780055918,0.6743299369602865,0.6920279345607984,0.6743299369602865,0.6785910557596221,0.8527705298225734,0.8845390513833639,0.8803255146002872,0.7710691823899372,0.8220831470719714,2089,250,0.11967448539971279,75,0.03590234561991384,0.017474370922646785,alto_0.25,regla_decision,alto,0.25,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1148,0.2674743709226468,759,0.17684063373718545,2385,0.5556849953401678,0.11300093196644923,True
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7341565703634669,0.691880705261925,0.6985024593722969,0.691880705261925,0.6944080612993647,0.8607976154108897,0.8845390513833639,0.8525610339875539,0.8040632054176072,0.8276022304832713,2089,308,0.14743896601244616,83,0.03973192915270465,0.01933830382106244,alto_0.30,regla_decision,alto,0.3,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1169,0.27236719478098786,908,0.21155638397017706,2215,0.516076421248835,0.07339235787511644,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7304287045666356,0.6955155519101094,0.6960134593790257,0.6955155519101094,0.6957592708983095,0.8625938951213445,0.8845390513833639,0.8271900430828147,0.8260038240917782,0.8265965080124372,2089,361,0.17280995691718526,88,0.0421254188606989,0.02050326188257223,alto_0.35,regla_decision,alto,0.35,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1178,0.2744641192917055,1022,0.2381174277726002,2092,0.4874184529356943,0.04473438956197573,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.72856477166822,0.701680542484069,0.6986232002547593,0.701680542484069,0.6995396021603052,0.8644336506481013,0.8845390513833639,0.8018190521780756,0.8438287153652393,0.8222876779577809,2089,414,0.19818094782192436,91,0.043561512685495456,0.021202236719478098,alto_0.40,regla_decision,alto,0.4,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1185,0.2760950605778192,1122,0.2614165890027959,1985,0.4624883504193849,0.019804287045666336,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7315936626281454,0.7094845125359216,0.70484298458982,0.7094845125359216,0.7056465949521739,0.8677387507530199,0.8845390513833639,0.7917663954044998,0.8596673596673596,0.8243209568901072,2089,435,0.20823360459550025,91,0.043561512685495456,0.021202236719478098,alto_0.45,regla_decision,alto,0.45,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1185,0.2760950605778192,1183,0.2756290773532153,1924,0.4482758620689655,0.005591798695246952,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.727865796831314,0.7081870467440701,0.7072293929025332,0.7081870467440701,0.7046697527448039,0.8666705980559949,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,70,0.03350885591191958,0.016309412861136997,proteccion_0.20,regla_decision,proteccion,0.2,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1124,0.2618825722273998,1268,0.2954333643988816,1900,0.4426840633737186,0.0,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7280987884436161,0.7080424907823942,0.7055131142105125,0.7080424907823942,0.7042332087252818,0.8666938973546564,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,75,0.03590234561991384,0.017474370922646785,proteccion_0.25,regla_decision,proteccion,0.25,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1148,0.2674743709226468,1244,0.2898415657036347,1900,0.4426840633737186,0.0,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7292637465051258,0.7092575347738416,0.7052455585328153,0.7092575347738416,0.7050581280484692,0.8671354043179025,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,83,0.03973192915270465,0.01933830382106244,proteccion_0.30,regla_decision,proteccion,0.3,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1169,0.27236719478098786,1223,0.28494874184529356,1900,0.4426840633737186,0.0,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7287977632805219,0.7085541027997211,0.7040095229304595,0.7085541027997211,0.7042230720481063,0.8668870750840661,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,88,0.0421254188606989,0.02050326188257223,proteccion_0.35,regla_decision,proteccion,0.35,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1178,0.2744641192917055,1214,0.28285181733457593,1900,0.4426840633737186,0.0,False
