modo,evaluacion,modelo,anio_prueba,accuracy,precision_macro,recall_macro,f1_macro,probabilidad_maxima_promedio
completo,aleatoria,Regresion_Logistica,,0.8457398192342845,0.8087395044744491,0.8359322290438521,0.8194186547698729,0.7868680109507417
completo,aleatoria,Random_Forest,,0.9800954605463593,0.9686676351331646,0.9755035662186282,0.972018442842801,0.6741653777578467
completo,aleatoria,XGBoost,,0.9980704783182696,0.9975166633974178,0.9974729237361255,0.9974939405338592,0.9982170462608337
interpretable,aleatoria,Regresion_Logistica,,0.8425916522798822,0.8044010725054603,0.8331496234409288,0.8153956768941875,0.7822707962027087
interpretable,aleatoria,Random_Forest,,0.9901492840459023,0.9845641321595039,0.9873957493031597,0.9859566019652878,0.729993309663503
interpretable,aleatoria,XGBoost,,0.9977658170001016,0.997100137772124,0.997009064912148,0.9970511915237995,0.998185932636261
