modelo,tipo,n_anios,accuracy_promedio,accuracy_std,accuracy_min,accuracy_max,accuracy_n_validos,balanced_accuracy_promedio,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_n_validos,precision_macro_promedio,precision_macro_std,precision_macro_min,precision_macro_max,precision_macro_n_validos,recall_macro_promedio,recall_macro_std,recall_macro_min,recall_macro_max,recall_macro_n_validos,f1_macro_promedio,f1_macro_std,f1_macro_min,f1_macro_max,f1_macro_n_validos,specificity_macro_promedio,specificity_macro_std,specificity_macro_min,specificity_macro_max,specificity_macro_n_validos,roc_auc_ovr_macro_promedio,roc_auc_ovr_macro_std,roc_auc_ovr_macro_min,roc_auc_ovr_macro_max,roc_auc_ovr_macro_n_validos,recall_alto_promedio,recall_alto_std,recall_alto_min,recall_alto_max,recall_alto_n_validos,precision_alto_promedio,precision_alto_std,precision_alto_min,precision_alto_max,precision_alto_n_validos,f1_alto_promedio,f1_alto_std,f1_alto_min,f1_alto_max,f1_alto_n_validos,casos_alto_reales_promedio,casos_alto_reales_std,casos_alto_reales_min,casos_alto_reales_max,casos_alto_reales_n_validos,falsos_negativos_alto_promedio,falsos_negativos_alto_std,falsos_negativos_alto_min,falsos_negativos_alto_max,falsos_negativos_alto_n_validos,tasa_falsos_negativos_alto_promedio,tasa_falsos_negativos_alto_std,tasa_falsos_negativos_alto_min,tasa_falsos_negativos_alto_max,tasa_falsos_negativos_alto_n_validos,errores_alto_bajo_promedio,errores_alto_bajo_std,errores_alto_bajo_min,errores_alto_bajo_max,errores_alto_bajo_n_validos,proporcion_alto_bajo_promedio,proporcion_alto_bajo_std,proporcion_alto_bajo_min,proporcion_alto_bajo_max,proporcion_alto_bajo_n_validos,proporcion_alto_bajo_total_promedio,proporcion_alto_bajo_total_std,proporcion_alto_bajo_total_min,proporcion_alto_bajo_total_max,proporcion_alto_bajo_total_n_validos,delta_f1_macro_promedio,delta_balanced_accuracy_promedio,delta_recall_alto_promedio,delta_tasa_falsos_negativos_alto_promedio,prioridad,admisible,recall_mejora_con_caida_global,seleccionado
D,modelo,5,0.7334416933779073,0.005031865987690604,0.7292637465051258,0.741991991991992,5,0.7099219312446456,0.007490495678263769,0.7023918164208559,0.7239155787382439,5,0.7067988475287211,0.00932332923712862,0.6976412845954297,0.7247138169281161,5,0.7099219312446456,0.007490495678263769,0.7023918164208559,0.7239155787382439,5,0.7049720354679676,0.0068924448065748375,0.696872793412408,0.7176027933890513,5,0.870185608674096,0.002494617713801196,0.8670681607723981,0.8738180741026055,5,0.8834422719775145,0.006338387150573261,0.8786453999583514,0.895360548460021,5,0.7644913896553163,0.01510128907348006,0.7422419252691577,0.7836285303973193,5,0.8553342431684344,0.018464933873949232,0.8311990686845169,0.8837209302325582,5,0.8073203475494404,0.015498086087813107,0.7878991596638656,0.8240963855421687,5,1994.4,235.59762307799286,1579,2215,5,466.6,35.34176000144871,407,505,5,0.23550861034468368,0.015101289073480033,0.21637146960268072,0.2577580747308423,5,97.8,25.576551761330144,59,137,5,0.05137924245943899,0.020278218564410595,0.026636568848758466,0.08676377454084863,5,0.022666943988910383,0.007025661025106261,0.012809379070777248,0.03428428428428428,5,0.005629037886041521,0.0050938048324233876,0.01406404262098826,-0.01406404262098826,1,True,False,True
C,modelo,5,0.7324465799680577,0.004073274357643892,0.7264678471575023,0.7374874874874875,5,0.7084430339156607,0.008077821242219962,0.6983250762133831,0.7231373432582447,5,0.7054445738222006,0.009509750103919714,0.6971465434843913,0.7240322063420228,5,0.7084430339156607,0.008077821242219962,0.6983250762133831,0.7231373432582447,5,0.7035754940485306,0.007159964497362567,0.6954270576976259,0.7169727176398792,5,0.8696589939100653,0.002582682611141434,0.8654946448857256,0.8733167904220521,5,0.8829336817860508,0.006451540963795454,0.8785947267061228,0.895425022747273,5,0.7635226088664432,0.016571721606346658,0.7365421152628245,0.7807563427477262,5,0.8559272156813403,0.016535164064186498,0.8327505827505828,0.8813821557503868,5,0.8070283654654169,0.015112349458820751,0.786874154262517,0.8228213769860375,5,1994.4,235.59762307799286,1579,2215,5,468.0,30.776614498674153,416,506,5,0.2364773911335567,0.01657172160634665,0.21924365725227382,0.2634578847371754,5,99.8,23.919866220361687,64,136,5,0.05229839103981582,0.019495750750556384,0.028893905191873587,0.08613046231792273,5,0.023104108198716337,0.006645297683353805,0.013894919669995658,0.03403403403403404,5,0.004232496466604507,0.0036149075034384026,0.01309526183211518,-0.013095261832115235,1,True,False,False
B,modelo,5,0.731592478655728,0.006430927629750507,0.7243709226467847,0.7397397397397397,5,0.7076070423653537,0.010086376698596744,0.6994581273738919,0.7274326589664999,5,0.7045422658771497,0.011784430338253287,0.6973251986962478,0.7280638931824832,5,0.7076070423653537,0.010086376698596744,0.6994581273738919,0.7274326589664999,5,0.7026150554381825,0.008821387242197621,0.6971473233499355,0.7202144969450487,5,0.8692014654102097,0.003660868906982739,0.8643573706370157,0.8747912364283632,5,0.8811929864931889,0.006396631190019465,0.8768267509274411,0.8935349982173383,5,0.7610453970982289,0.015772333673566646,0.74034198860038,0.7836285303973193,5,0.8561865074107594,0.0175870143910896,0.8364817001180638,0.8868022952529995,5,0.805749810745664,0.014818740743118395,0.7877358490566038,0.8228460793804454,5,1994.4,235.59762307799286,1579,2215,5,473.6,38.856659660861226,410,515,5,0.238954602901771,0.01577233367356665,0.21637146960268072,0.25965801139962,5,104.0,26.49528259898354,64,145,5,0.05460271893993353,0.02123345487895808,0.028893905191873587,0.09183027232425586,5,0.02410118197275419,0.0073266713034145625,0.013894919669995658,0.03628628628628629,5,0.003272057856256394,0.0027789159531314,0.01061805006390093,-0.01061805006390093,1,True,False,False
A,modelo,5,0.7314554081534921,0.0060839510406509355,0.724265505984766,0.7404904904904905,5,0.7075179553789341,0.009109161789447337,0.7003359240332637,0.725451927804914,5,0.7046528809466921,0.01130582432890737,0.6984742172632887,0.7272455720817123,5,0.7075179553789341,0.009109161789447337,0.7003359240332637,0.725451927804914,5,0.7025566125360554,0.007833830252632255,0.6976823249670837,0.7181557542312725,5,0.8691444269796735,0.0033499376553435965,0.8645445955902055,0.8737915971153538,5,0.8813048232040905,0.006243978061279955,0.8765115912682927,0.8932028153914261,5,0.7609522725028846,0.014382937020850724,0.7422419252691577,0.7831498324557205,5,0.8565473773495554,0.017448209652499005,0.836962919364332,0.8871983210912907,5,0.8058388830294984,0.013316267900377255,0.789491411249579,0.8206745935452561,5,1994.4,235.59762307799286,1579,2215,5,474.2,41.796650583509674,407,524,5,0.2390477274971153,0.014382937020850708,0.21685016754427955,0.2577580747308423,5,103.6,27.81078927322991,61,145,5,0.05446073055571943,0.021752536453816286,0.027539503386004513,0.09183027232425586,5,0.02401724988212015,0.007584939681529416,0.013243595310464611,0.03628628628628629,5,0.003213614954129307,0.0026898289667118824,0.010524925468556545,-0.010524925468556628,1,True,False,False
Base,modelo,5,0.7277045865623004,0.006110516852441708,0.7204100652376515,0.7359965262700825,5,0.7048281264122223,0.012895440770796055,0.6851478339333189,0.725621121753042,5,0.7012727847228828,0.012597191725272412,0.6854906571805045,0.723971795941987,5,0.7048281264122223,0.012895440770796055,0.6851478339333189,0.725621121753042,5,0.6993429975819261,0.011486336322521959,0.6820717734100978,0.7180530076575797,5,0.8675549233861428,0.004226740347795473,0.8632623601819319,0.8740969768270008,5,0.8788460012207542,0.006984150932283906,0.8714001300850948,0.8915980105560507,5,0.750427347034328,0.021214681339774603,0.7099430018999366,0.7678314983245572,5,0.8563369203430368,0.020360150196122345,0.8281887012230634,0.888421052631579,5,0.7997599706767266,0.01846452845937147,0.770446735395189,0.8204131227217498,5,1994.4,235.59762307799286,1579,2215,5,493.0,25.791471458604295,458,527,5,0.24957265296567194,0.021214681339774593,0.23216850167544278,0.29005699810006336,5,109.4,33.71409200912876,69,170,5,0.05793644749443712,0.026575299101993535,0.031151241534988713,0.10766307789740343,5,0.02544733566065462,0.009319850242127732,0.014980460269214069,0.04254254254254254,5,0.0,0.0,0.0,0.0,3,True,False,False
