anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,modelo,tipo,fase,n_features,delta_accuracy_vs_ganador,delta_balanced_accuracy_vs_ganador,delta_precision_macro_vs_ganador,delta_recall_macro_vs_ganador,delta_f1_macro_vs_ganador,delta_specificity_macro_vs_ganador,delta_roc_auc_ovr_macro_vs_ganador,delta_recall_alto_vs_ganador,delta_precision_alto_vs_ganador,delta_f1_alto_vs_ganador,delta_casos_alto_reales_vs_ganador,delta_falsos_negativos_alto_vs_ganador,delta_tasa_falsos_negativos_alto_vs_ganador,delta_errores_alto_bajo_vs_ganador,delta_proporcion_alto_bajo_vs_ganador,delta_proporcion_alto_bajo_total_vs_ganador
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7204100652376515,0.7022096454833945,0.6961917405917889,0.7022096454833945,0.6966983969060062,0.8633429815566164,0.8800065170899475,0.7678314983245572,0.8614393125671321,0.8119463426980512,2089,485,0.23216850167544278,102,0.048827190043082815,0.023765144454799627,Base,modelo,desarrollo,37,,,,,,,,,,,,,,,,
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7253028890959925,0.7035650409905813,0.6985058344657732,0.7035650409905813,0.6994888350854686,0.8645445955902055,0.8818078886435016,0.7831498324557205,0.8547544409613375,0.8173869597801648,2089,453,0.21685016754427955,97,0.04643370033508856,0.022600186393289843,A,modelo,desarrollo,48,,,,,,,,,,,,,,,,
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7243709226467847,0.7023205069991962,0.6973251986962478,0.7023205069991962,0.6982058606019632,0.8643573706370157,0.8813476968631849,0.7836285303973193,0.8570680628272251,0.8187046761690423,2089,452,0.21637146960268072,98,0.04691239827668741,0.022833178005591797,B,modelo,desarrollo,52,,,,,,,,,,,,,,,,
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7264678471575023,0.7062371069634006,0.7014030165058088,0.7062371069634006,0.7018728641095398,0.8654946448857256,0.8829235201335255,0.7807563427477262,0.857969489742241,0.8175438596491228,2089,458,0.21924365725227382,92,0.0440402106270943,0.021435228331780055,C,modelo,desarrollo,59,,,,,,,,,,,,,,,,
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7292637465051258,0.7090684787933706,0.7040629288657971,0.7090684787933706,0.7046006060575793,0.8670681607723981,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,91,0.043561512685495456,0.021202236719478098,D,modelo,desarrollo,69,,,,,,,,,,,,,,,,
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7237237237237237,0.6851478339333189,0.6854906571805045,0.6851478339333189,0.6820717734100978,0.8632623601819319,0.8714001300850948,0.7099430018999366,0.8422238918106687,0.770446735395189,1579,458,0.29005699810006336,170,0.10766307789740343,0.04254254254254254,Base,modelo,desarrollo,37,,,,,,,,,,,,,,,,
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7404904904904905,0.7003359240332637,0.6994448532873102,0.7003359240332637,0.698011865043021,0.871195121807039,0.8767242383042023,0.7422419252691577,0.8431654676258993,0.789491411249579,1579,407,0.2577580747308423,145,0.09183027232425586,0.03628628628628629,A,modelo,desarrollo,48,,,,,,,,,,,,,,,,
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7397397397397397,0.6994581273738919,0.6986037710843817,0.6994581273738919,0.6971473233499355,0.8707761748401587,0.8768839753084195,0.74034198860038,0.8416126709863211,0.7877358490566038,1579,410,0.25965801139962,145,0.09183027232425586,0.03628628628628629,B,modelo,desarrollo,52,,,,,,,,,,,,,,,,
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7374874874874875,0.6983250762133831,0.6971465434843913,0.6983250762133831,0.6954270576976259,0.8703867491640452,0.8786347946866959,0.7365421152628245,0.8445896877269427,0.786874154262517,1579,416,0.2634578847371754,136,0.08613046231792273,0.03403403403403404,C,modelo,desarrollo,59,,,,,,,,,,,,,,,,
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.741991991991992,0.7047139817550528,0.7023388203130448,0.7047139817550528,0.7015495895327827,0.8723277197559968,0.879984434506257,0.7422419252691577,0.839541547277937,0.7878991596638656,1579,407,0.2577580747308423,137,0.08676377454084863,0.03428428428428428,D,modelo,desarrollo,69,,,,,,,,,,,,,,,,
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7339094837389128,0.7069611005696795,0.7012558016422558,0.7069611005696795,0.7012873671885472,0.87058993174784,0.8769508590881115,0.7488151658767772,0.8281887012230634,0.7865044247787609,1899,477,0.25118483412322273,114,0.06003159557661927,0.02592676825108028,Base,modelo,desarrollo,37,,,,,,,,,,,,,,,,
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7320900614055037,0.7053301117827274,0.6995939276353758,0.7053301117827274,0.6994442833534308,0.869959485121507,0.8782775824130297,0.7488151658767772,0.836962919364332,0.7904391328515842,1899,477,0.25118483412322273,119,0.06266456029489205,0.027063907209460995,A,modelo,desarrollo,48,,,,,,,,,,,,,,,,
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7316352058221515,0.7050640776717435,0.6994530590264466,0.7050640776717435,0.6990606482733911,0.8699290234745646,0.877371511149561,0.7461822011585044,0.8364817001180638,0.7887559142777624,1899,482,0.2538177988414955,116,0.061084781463928386,0.026381623834432568,B,modelo,desarrollo,52,,,,,,,,,,,,,,,,
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7332272003638844,0.706880585129793,0.7013290557633883,0.706880585129793,0.701009863007215,0.870567185009211,0.8785947267061228,0.7525013164823592,0.8327505827505828,0.7905947441217152,1899,470,0.24749868351764087,113,0.05950500263296472,0.02569934045940414,C,modelo,desarrollo,59,,,,,,,,,,,,,,,,
2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7298157834887423,0.7023918164208559,0.6976412845954297,0.7023918164208559,0.696872793412408,0.8690613665076926,0.8786819255795791,0.7519747235387045,0.8311990686845169,0.7896046447332042,1899,471,0.2480252764612954,110,0.057925223802001054,0.02501705708437571,D,modelo,desarrollo,69,,,,,,,,,,,,,,,,
2023,29841,4595,5452865fae7ed675f43ffdaa29d4ea8cf82c5b2d6cb2be755d295bc2ca8b3a69,0.7244831338411316,0.7042009303216759,0.6994539282578772,0.7042009303216759,0.6986044427473992,0.866482366617325,0.8742744892845663,0.7634703196347032,0.8614116434827409,0.8094892277898813,2190,518,0.2365296803652968,92,0.04200913242009133,0.02002176278563656,Base,modelo,desarrollo,37,,,,,,,,,,,,,,,,
