variable,anio_prueba,importancia_f1_macro_media,importancia_f1_macro_std,f1_macro_sin_permutar,n_test,n_muestra,repeticiones,random_state,metodo,es_causal,conjunto
pacientes_camas_lag_2m,2018,0.005030891737399641,0.0015464740240032765,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
camas_disponibles_lag_1m,2018,0.00014477096358500585,0.0006790051432504815,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
camas_disponibles_lag_2m,2018,0.004010009888806991,0.0005658800538260494,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
ingresos_lag_1m,2018,-0.00017246418788393245,0.0006245451375115953,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
ingresos_lag_2m,2018,0.0014618836029346809,0.0029215249203020733,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
egresos_lag_1m,2018,0.0032367805063708843,0.0007254283586315271,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
egresos_lag_2m,2018,0.0020877838689623562,0.003472462741112452,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
cambio_ocupacion_2m,2018,0.0021506866321101548,0.0024210017176916065,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
cambio_pacientes_camas_1m,2018,0.0018060358062896482,0.002011793115851471,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
cambio_camas_disponibles_1m,2018,-0.0017208024011849954,0.001705306303125358,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
aceleracion_ocupacion,2018,0.0006986610834004425,0.0035821529998814458,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
max_ocupacion_3m,2018,0.0023262227950526793,0.001775730013527343,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
min_ocupacion_3m,2018,0.001239704127813342,0.0016427244800598852,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
desviacion_ocupacion_3m,2018,0.002172321639765995,0.0014958289628648291,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
promedio_ocupacion_6m,2018,0.013391422678917611,0.0022964643630068726,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
max_presion_3m,2018,0.0009546724908442809,0.002085021778146344,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
promedio_pacientes_camas_3m,2018,0.0025833845745728925,0.0008455148577227859,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
promedio_camas_disponibles_3m,2018,0.004225610740695125,0.0017901548767038876,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
meses_alto_ultimos_3m,2018,-0.0017395585613809716,0.0008809354243372405,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
meses_alto_ultimos_6m,2018,-9.11911171744458e-05,0.001861078324904825,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
