variable,importancia
categoricas__codigo_ipress_00010434,0.0
categoricas__codigo_ipress_00009188,0.0
categoricas__codigo_ipress_00008741,0.0
categoricas__codigo_ipress_00008564,0.0
categoricas__codigo_ipress_00008502,0.0
categoricas__codigo_ipress_00008489,0.0
categoricas__codigo_ipress_00008353,0.0
categoricas__codigo_ipress_00008318,0.0
categoricas__codigo_ipress_00007734,0.0
categoricas__id_hospitalizacion_240100,0.0
categoricas__id_hospitalizacion_240000,0.0
categoricas__id_hospitalizacion_230400,0.0
categoricas__id_hospitalizacion_230109,0.0
categoricas__id_hospitalizacion_225400,0.0
categoricas__id_hospitalizacion_224700,0.0
categoricas__id_hospitalizacion_224200,0.0
categoricas__id_hospitalizacion_223800,0.0
categoricas__id_hospitalizacion_223700,0.0
categoricas__id_hospitalizacion_223200,0.0
categoricas__id_hospitalizacion_222400,0.0
categoricas__id_hospitalizacion_221601,0.0
categoricas__id_hospitalizacion_221502,0.0
categoricas__id_hospitalizacion_221000,0.0
categoricas__id_hospitalizacion_220100,0.0
categoricas__codigo_ipress_00018011,0.0
categoricas__id_hospitalizacion_241700,0.0
categoricas__id_hospitalizacion_241600,0.0
categoricas__id_hospitalizacion_240801,0.0
categoricas__id_hospitalizacion_240600,0.0
categoricas__id_hospitalizacion_240500,0.0
categoricas__id_hospitalizacion_240400,0.0
categoricas__id_hospitalizacion_240300,0.0
categoricas__id_hospitalizacion_242900,0.0
categoricas__id_hospitalizacion_242800,0.0
categoricas__id_hospitalizacion_242500,0.0
categoricas__id_hospitalizacion_242204,0.0
categoricas__id_hospitalizacion_242203,0.0
categoricas__id_hospitalizacion_242202,0.0
categoricas__id_hospitalizacion_242100,0.0
categoricas__id_hospitalizacion_242000,0.0
categoricas__id_hospitalizacion_241900,0.0
categoricas__id_hospitalizacion_244800,0.0
categoricas__id_hospitalizacion_244700,0.0
categoricas__id_hospitalizacion_244600,0.0
categoricas__id_hospitalizacion_244400,0.0
categoricas__id_hospitalizacion_244300,0.0
categoricas__id_hospitalizacion_244200,0.0
categoricas__id_hospitalizacion_244100,0.0
categoricas__id_hospitalizacion_244000,0.0
categoricas__id_hospitalizacion_243800,0.0
categoricas__id_hospitalizacion_243700,0.0
categoricas__id_hospitalizacion_243500,0.0
categoricas__id_hospitalizacion_243400,0.0
categoricas__id_hospitalizacion_243300,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PEDIÁTRICA,0.0
categoricas__id_hospitalizacion_243100,0.0
categoricas__ubigeo_150121,0.0
categoricas__id_hospitalizacion_250107,0.0
categoricas__id_hospitalizacion_250106,0.0
categoricas__id_hospitalizacion_250102,0.0
categoricas__id_hospitalizacion_250101,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,0.0
categoricas__id_hospitalizacion_250000,0.0
categoricas__id_hospitalizacion_245700,0.0
categoricas__id_hospitalizacion_245500,0.0
categoricas__id_hospitalizacion_245400,0.0
categoricas__id_hospitalizacion_245300,0.0
categoricas__id_hospitalizacion_245200,0.0
categoricas__id_hospitalizacion_245100,0.0
categoricas__id_hospitalizacion_245000,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-OBSTETRICIA / ATENCIÓN DE LA MUJER-OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEUMOLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEONATOLOGÍA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEFROLOGÍA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-MEDICINA GENERAL / ATENCIÓN DEL ADULTO-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-INFECTOLOGÍA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-GINECOLOGÍA GENERAL-GINECOLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-CIRUGÍA GENERAL-,0.0
categoricas__id_hospitalizacion_250500,0.0
categoricas__id_hospitalizacion_250400,0.0
categoricas__id_hospitalizacion_250304,0.0
categoricas__id_hospitalizacion_250201,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DIGESTIVA,0.0
categoricas__id_hospitalizacion_250111,0.0
categoricas__id_hospitalizacion_250109,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE TÓRAX Y CARDIOVASCULAR,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA HEMATOLOGÍA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA GINECOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA GERIATRIA,0.0
