modelo,tipo,n_anios,accuracy_promedio,accuracy_std,accuracy_min,accuracy_max,accuracy_n_validos,balanced_accuracy_promedio,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_n_validos,precision_macro_promedio,precision_macro_std,precision_macro_min,precision_macro_max,precision_macro_n_validos,recall_macro_promedio,recall_macro_std,recall_macro_min,recall_macro_max,recall_macro_n_validos,f1_macro_promedio,f1_macro_std,f1_macro_min,f1_macro_max,f1_macro_n_validos,specificity_macro_promedio,specificity_macro_std,specificity_macro_min,specificity_macro_max,specificity_macro_n_validos,roc_auc_ovr_macro_promedio,roc_auc_ovr_macro_std,roc_auc_ovr_macro_min,roc_auc_ovr_macro_max,roc_auc_ovr_macro_n_validos,recall_alto_promedio,recall_alto_std,recall_alto_min,recall_alto_max,recall_alto_n_validos,precision_alto_promedio,precision_alto_std,precision_alto_min,precision_alto_max,precision_alto_n_validos,f1_alto_promedio,f1_alto_std,f1_alto_min,f1_alto_max,f1_alto_n_validos,casos_alto_reales_promedio,casos_alto_reales_std,casos_alto_reales_min,casos_alto_reales_max,casos_alto_reales_n_validos,falsos_negativos_alto_promedio,falsos_negativos_alto_std,falsos_negativos_alto_min,falsos_negativos_alto_max,falsos_negativos_alto_n_validos,tasa_falsos_negativos_alto_promedio,tasa_falsos_negativos_alto_std,tasa_falsos_negativos_alto_min,tasa_falsos_negativos_alto_max,tasa_falsos_negativos_alto_n_validos,errores_alto_bajo_promedio,errores_alto_bajo_std,errores_alto_bajo_min,errores_alto_bajo_max,errores_alto_bajo_n_validos,proporcion_alto_bajo_promedio,proporcion_alto_bajo_std,proporcion_alto_bajo_min,proporcion_alto_bajo_max,proporcion_alto_bajo_n_validos,proporcion_alto_bajo_total_promedio,proporcion_alto_bajo_total_std,proporcion_alto_bajo_total_min,proporcion_alto_bajo_total_max,proporcion_alto_bajo_total_n_validos
XGBoost,modelo,6,0.733191027045543,0.013476664747535463,0.7204100652376515,0.7606232294617564,6,0.7129464642228313,0.021635943194833855,0.6851478339333189,0.7535381532758763,6,0.7095843669374461,0.02185527458875655,0.6854906571805045,0.7511422780102622,6,0.7129464642228313,0.021635943194833855,0.6851478339333189,0.7535381532758763,6,0.7069442969172463,0.019971113130905663,0.6820717734100978,0.744950793593847,6,0.8706629986652729,0.007949115548920851,0.8632623601819319,0.8862033750609225,6,0.8841534938676903,0.01347204616445352,0.8714001300850948,0.9106909571023701,6,0.7543789854964237,0.021286838334967847,0.7099430018999366,0.7741371778069026,6,0.8615025997016543,0.021883044719313037,0.8281887012230634,0.888421052631579,6,0.8042796769171819,0.01965335590993317,0.770446735395189,0.8268782081194587,6,2043.5,241.47308338611987,1579,2289,6,497.0,25.185974933151453,458,527,6,0.24562101450357618,0.02128683833496783,0.22586282219309742,0.29005699810006336,6,101.66666666666667,35.30187278632994,63,170,6,0.052867528875333684,0.026777013434458093,0.027522935779816515,0.10766307789740343,6,0.023330758942896792,0.00973563003219854,0.012747875354107648,0.04254254254254254,6
Random_Forest,modelo,6,0.7306102667484032,0.01449321129633075,0.7103914259086673,0.7555645487656819,6,0.7117174134110241,0.018695725352555582,0.6937514681689166,0.7490363688778642,6,0.7074670132400512,0.019438619486412685,0.6868427151830317,0.7448274283773172,6,0.7117174134110241,0.018695725352555582,0.6937514681689166,0.7490363688778642,6,0.7048576915948065,0.017472323030638174,0.6869903595995063,0.7395397686755691,6,0.8701864745371745,0.007634048577975997,0.859619702034854,0.8842739602813535,6,0.8812181214334701,0.012578769399994973,0.8706882213605666,0.9071093104725928,6,0.7485151257795217,0.010433168406014928,0.7352754908169727,0.765399737876802,6,0.8684432682108888,0.018015928068092133,0.8410317936412718,0.8938775510204081,6,0.8040116102655022,0.013431600352551499,0.786315199102636,0.824664626971052,6,2043.5,241.47308338611987,1579,2289,6,511.8333333333333,46.55253901656589,418,561,6,0.25148487422047827,0.01043316840601494,0.2346002621231979,0.26472450918302726,6,108.0,22.854612955229264,77,136,6,0.05493224214409875,0.018238338095094026,0.03476297968397291,0.08613046231792273,6,0.024554299407201743,0.006581883541673494,0.016187778227438283,0.03403403403403404,6
Persistencia_Riesgo_Actual,baseline,6,0.7334703448259584,0.013532003882571962,0.7101584342963654,0.7492917847025495,6,0.6930904374502401,0.013283029685321216,0.6758111451237472,0.714130000831911,6,0.6930016400056979,0.013332931856724697,0.6760143999805015,0.7146720528734597,6,0.6930904374502401,0.013283029685321216,0.6758111451237472,0.714130000831911,6,0.6930350668076096,0.013305499542919066,0.6759117076526912,0.7143889020489805,6,0.8651146041783538,0.007648128556133579,0.8514041510025248,0.8731869199861956,6,,,,,0,0.8109823002885467,0.017212671904521297,0.7903736542115263,0.8334085778781039,6,0.8137058574734334,0.014580000106159497,0.7963944856839873,0.837948252383114,6,0.81233395432885,0.015757451625441673,0.793659180977543,0.8356722498868266,6,2043.5,241.47308338611987,1579,2289,6,382.6666666666667,26.36706700075346,331,407,6,0.18901769971145332,0.017212671904521287,0.16659142212189615,0.20962634578847372,6,105.0,12.96148139681572,86,126,6,0.052708167745426,0.011981716780729661,0.03882618510158013,0.07029765674477517,6,0.023697607406694115,0.003982614423711444,0.018671298306556665,0.028655901751193997,6
Regla_Ocupacion_Actual,baseline,6,0.7334703448259584,0.013532003882571962,0.7101584342963654,0.7492917847025495,6,0.6930904374502401,0.013283029685321216,0.6758111451237472,0.714130000831911,6,0.6930016400056979,0.013332931856724697,0.6760143999805015,0.7146720528734597,6,0.6930904374502401,0.013283029685321216,0.6758111451237472,0.714130000831911,6,0.6930350668076096,0.013305499542919066,0.6759117076526912,0.7143889020489805,6,0.8651146041783538,0.007648128556133579,0.8514041510025248,0.8731869199861956,6,,,,,0,0.8109823002885467,0.017212671904521297,0.7903736542115263,0.8334085778781039,6,0.8137058574734334,0.014580000106159497,0.7963944856839873,0.837948252383114,6,0.81233395432885,0.015757451625441673,0.793659180977543,0.8356722498868266,6,2043.5,241.47308338611987,1579,2289,6,382.6666666666667,26.36706700075346,331,407,6,0.18901769971145332,0.017212671904521287,0.16659142212189615,0.20962634578847372,6,105.0,12.96148139681572,86,126,6,0.052708167745426,0.011981716780729661,0.03882618510158013,0.07029765674477517,6,0.023697607406694115,0.003982614423711444,0.018671298306556665,0.028655901751193997,6
Regresion_Logistica,modelo,6,0.719959872671943,0.015279702966666444,0.6961789375582479,0.7478753541076487,6,0.6853426832182259,0.017693523632995502,0.6673710003618867,0.7205106640269069,6,0.6829368989407566,0.018661448770209154,0.6671959453626591,0.7206106218059246,6,0.6853426832182259,0.017693523632995502,0.6673710003618867,0.7205106640269069,6,0.6832270205537997,0.01826728057554958,0.6663660868799804,0.7197555950022592,6,0.8606127274637632,0.007362086736201865,0.8497753666041968,0.8744491721545762,6,0.8677378673315782,0.013705129934810255,0.8567397803141956,0.8956158972896261,6,0.7747057592381094,0.026395150873219652,0.7365421152628245,0.8103975535168195,6,0.8242959157090762,0.01168488896232832,0.8054016620498615,0.8360888049126122,6,0.7985881233373866,0.018168958642184242,0.7694343367515712,0.821705426356589,6,2043.5,241.47308338611987,1579,2289,6,455.1666666666667,36.77597343677285,416,528,6,0.22529424076189067,0.026395150873219638,0.18960244648318042,0.2634578847371754,6,114.66666666666667,27.21927421679147,74,147,6,0.05844726081149127,0.02066221239506994,0.03232852774137178,0.09309689677010766,6,0.026088063837567243,0.007505541385474998,0.014973694860380412,0.03678678678678678,6
Clase_Mayoritaria,baseline,6,0.45573704917732655,0.03246498289707697,0.39514514514514515,0.48671947809878846,6,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,6,0.15191234972577553,0.010821660965692327,0.13171504838171505,0.1622398260329295,6,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,6,0.20847599095528402,0.010427249138761247,0.1888191330343797,0.21825210259624928,6,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,6,,,,,0,1.0,0.0,1.0,1.0,6,0.45573704917732655,0.03246498289707697,0.39514514514514515,0.48671947809878846,6,0.625427972865852,0.031281747416283735,0.5664573991031391,0.6547563077887478,6,2043.5,241.47308338611987,1579,2289,6,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6
