evaluacion,modelo,anio_prueba,accuracy,balanced_accuracy,precision_macro,recall_macro,specificity_macro,f1_macro,roc_auc_ovr_macro,probabilidad_maxima_promedio
temporal,Regresion_Logistica,2025,0.7162434502216848,0.6629221192547046,0.6510301344847309,0.6629221192547046,0.8539885991146686,0.6526905417553664,0.8431363125171742,0.6699316842566151
temporal,Random_Forest,2025,0.7879887142281338,0.7732054690929301,0.7375095048702492,0.7732054690929301,0.8946408064159849,0.7500883704061497,0.919736782071208,0.6798475276528381
temporal,XGBoost,2025,0.7904070939137444,0.7735630843085821,0.7467390319973589,0.7735630843085821,0.8949102630135638,0.7545542973802895,0.9235914432664477,0.7734131813049316
