anio_prueba,n_test,log_loss,brier_multiclase,confianza_media_maxima,accuracy_argmax,brecha_confianza_accuracy,ece_clase_0,brier_clase_0,clase,bin,limite_inferior,limite_superior,ultimo_bin_incluye_1,n_bin,probabilidad_media,frecuencia_observada,ece_clase,brier_clase,ece_clase_1,brier_clase_1,ece_clase_2,brier_clase_2,ece_macro,alerta_calibracion,observacion,test_sha256,probabilidades_sha256
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,0,0.0,0.1,False,2068,0.027233777857938155,0.020309477756286266,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,1,0.1,0.2,False,460,0.145823259635464,0.16304347826086957,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,2,0.2,0.3,False,309,0.24940188716144623,0.2588996763754045,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,3,0.3,0.4,False,188,0.3489415631332296,0.3404255319148936,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,4,0.4,0.5,False,196,0.45042825946394277,0.4387755102040816,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,5,0.5,0.6,False,144,0.5507848573227724,0.5277777777777778,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,6,0.6,0.7,False,140,0.6488260694912502,0.5785714285714286,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,7,0.7,0.8,False,137,0.7518092024065283,0.7007299270072993,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,8,0.8,0.9,False,189,0.8543483072487765,0.7777777777777778,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
2018,4292,0.617826206547055,0.35829003555388167,0.7483483854288935,0.7292637465051258,0.01908463892376766,0.015900756161349002,0.09445977614655325,0,9,0.9,1.0,True,461,0.9643539320879541,0.9544468546637744,0.015900756161349002,0.09445977614655325,0.0400528350684081,0.14388575533651873,0.050565456828610855,0.11994450407080964,0.03550634935278932,False,"Sin alerta según criterio exploratorio; no demuestra probabilidades calibradas, especialmente con muestras pequeñas.",9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413
