variable,importancia
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,0.0004947646
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI),0.0004884342
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,0.0004606324
categoricas__distrito_EL AGUSTINO,0.00041394038
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE TRANSPLANTES,0.0003970091
categoricas__distrito_VILLA MARIA DEL TRIUNFO,0.0003861599
categoricas__distrito_COMAS,0.00030275728
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA ONCOLOGÍA MÉDICA,0.00012074032
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA QUEMADOS,0.00011633888
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-CIRUGÍA GENERAL-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-CIRUGÍA PEDIÁTRICA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-CIRUGÍA PLÁSTICA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-GASTROENTEROLOGÍA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-GINECOLOGÍA GENERAL-GINECOLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-INFECTOLOGÍA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-MEDICINA GENERAL / ATENCIÓN DEL ADULTO-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-MEDICINA INTERNA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEFROLOGÍA-,0.0
categoricas__provincia_LIMA,0.0
categoricas__departamento_LIMA,0.0
categoricas__distrito_ANCON,0.0
categoricas__distrito_INDEPENDENCIA,0.0
categoricas__distrito_CARABAYLLO,0.0
categoricas__distrito_ATE,0.0
categoricas__distrito_BRE?A,0.0
categoricas__distrito_PUCUSANA,0.0
categoricas__distrito_LURIN,0.0
categoricas__distrito_LOS OLIVOS,0.0
categoricas__distrito_LA MOLINA,0.0
categoricas__distrito_SAN BARTOLO,0.0
categoricas__distrito_SANTIAGO DE SURCO,0.0
categoricas__distrito_SAN JUAN DE LURIGANCHO,0.0
categoricas__distrito_SAN MIGUEL,0.0
categoricas__sector_SANIDAD DE LA FUERZA AEREA DEL PERU,0.0
categoricas__categoria_ipress_I-3,0.0
categoricas__categoria_ipress_0,0.0
categoricas__categoria_ipress_I-2,0.0
categoricas__servicio_hospitalizacion_CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA,0.0
categoricas__servicio_hospitalizacion_CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA- CIRUGÍA ALTAMENTE ESPECIALIZADA Y DE ALTA COMPLEJIDAD,0.0
categoricas__servicio_hospitalizacion_CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-UNIDAD DE RECUPERACIÓN Y REANIMACIÓN-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-CIRUGÍA DE TÓRAX Y CARDIOVASCULAR,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA OFTALMOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA NEUROLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA NEUMOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA NEONATOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA NEFROLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA GINECOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA GENERAL,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA GASTROENTEROLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA DERMATOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE PEDIATRIA PEDIATRIA CARDIOLOGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA-NEUROLOGIA -NEUROLOGIA DE LA CONDUCTA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA REUMATOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA PSIQUIATRIA PSIQUIATRIA DEL NI?O Y DEL ADOLESCENTE,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA PSIQUIATRIA PSIQUIATRIA DEL ADULTO Y GERONTE,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA PSIQUIATRIA PSIQUIATRIA - HOSPITALIZACION DE DIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA PSIQUIATRIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA ONCOLOGIA MEDICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA NEUROVASCULARES Y METABOLICAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA NEURODEGENERATIVAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA EPILEPSIA/EPILEPTOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA ENFERMEDADES INFECCIOSAS/TRANSMISIBLES DEL SISTEMA NERVIOSO,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUMOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEFROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA MEDICINA INTERNA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA MEDICINA GENERAL,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA HEMATOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA GINECOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA GERIATRIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA GASTROENTEROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA ENDOCRINOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA DERMATOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA CARDIOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-PEDIATRÍA,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-MEDICINA,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-INFECTADOS,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE TRAUMA SHOCK-,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA-EMERGENCIA / PRIORIDAD 2-UROLOGÍA,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA-EMERGENCIA / PRIORIDAD 2-TRAUMATOLOGÍA Y ORTOPEDIA,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA SHOCKTRAUMA / PRIORIDAD 1,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA SALA DE OBSERVACION SALA OBSERVACION PACIENTE CRITICO,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-UROLOGÍA -,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-TRAUMATOLOGÍA Y ORTOPEDIA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-PSIQUIATRÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-PEDIATRÍA GENERAL-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-OTORRINOLARINGOLOGÍA -,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-OFTALMOLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-OBSTETRICIA / ATENCIÓN DE LA MUJER-OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEUROLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEUROCIRUGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEUMOLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEONATOLOGÍA-,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA NEUROCIRUGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA CIRUGIA PEDIATRICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA CIRUGIA PLASTICA/RECONSTRUCTIVA/ REPARADORA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA GINECOLOGIA GINECOLOGIA ONCOLOGICA,0.0
