modelo,tipo,n_anios,accuracy_promedio,accuracy_std,accuracy_min,accuracy_max,accuracy_n_validos,balanced_accuracy_promedio,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_n_validos,precision_macro_promedio,precision_macro_std,precision_macro_min,precision_macro_max,precision_macro_n_validos,recall_macro_promedio,recall_macro_std,recall_macro_min,recall_macro_max,recall_macro_n_validos,f1_macro_promedio,f1_macro_std,f1_macro_min,f1_macro_max,f1_macro_n_validos,specificity_macro_promedio,specificity_macro_std,specificity_macro_min,specificity_macro_max,specificity_macro_n_validos,roc_auc_ovr_macro_promedio,roc_auc_ovr_macro_std,roc_auc_ovr_macro_min,roc_auc_ovr_macro_max,roc_auc_ovr_macro_n_validos,recall_alto_promedio,recall_alto_std,recall_alto_min,recall_alto_max,recall_alto_n_validos,precision_alto_promedio,precision_alto_std,precision_alto_min,precision_alto_max,precision_alto_n_validos,f1_alto_promedio,f1_alto_std,f1_alto_min,f1_alto_max,f1_alto_n_validos,casos_alto_reales_promedio,casos_alto_reales_std,casos_alto_reales_min,casos_alto_reales_max,casos_alto_reales_n_validos,falsos_negativos_alto_promedio,falsos_negativos_alto_std,falsos_negativos_alto_min,falsos_negativos_alto_max,falsos_negativos_alto_n_validos,tasa_falsos_negativos_alto_promedio,tasa_falsos_negativos_alto_std,tasa_falsos_negativos_alto_min,tasa_falsos_negativos_alto_max,tasa_falsos_negativos_alto_n_validos,errores_alto_bajo_promedio,errores_alto_bajo_std,errores_alto_bajo_min,errores_alto_bajo_max,errores_alto_bajo_n_validos,proporcion_alto_bajo_promedio,proporcion_alto_bajo_std,proporcion_alto_bajo_min,proporcion_alto_bajo_max,proporcion_alto_bajo_n_validos,proporcion_alto_bajo_total_promedio,proporcion_alto_bajo_total_std,proporcion_alto_bajo_total_min,proporcion_alto_bajo_total_max,proporcion_alto_bajo_total_n_validos,delta_f1_macro_promedio,delta_balanced_accuracy_promedio,delta_recall_alto_promedio,delta_tasa_falsos_negativos_alto_promedio,delta_proporcion_alto_bajo_promedio,admisible,ranking,seleccionada
D,modelo,5,0.7334416933779073,0.005031865987690604,0.7292637465051258,0.741991991991992,5,0.7099219312446456,0.007490495678263769,0.7023918164208559,0.7239155787382439,5,0.7067988475287211,0.00932332923712862,0.6976412845954297,0.7247138169281161,5,0.7099219312446456,0.007490495678263769,0.7023918164208559,0.7239155787382439,5,0.7049720354679676,0.0068924448065748375,0.696872793412408,0.7176027933890513,5,0.870185608674096,0.002494617713801196,0.8670681607723981,0.8738180741026055,5,0.8834422719775145,0.006338387150573261,0.8786453999583514,0.895360548460021,5,0.7644913896553163,0.01510128907348006,0.7422419252691577,0.7836285303973193,5,0.8553342431684344,0.018464933873949232,0.8311990686845169,0.8837209302325582,5,0.8073203475494404,0.015498086087813107,0.7878991596638656,0.8240963855421687,5,1994.4,235.59762307799286,1579,2215,5,466.6,35.34176000144871,407,505,5,0.23550861034468368,0.015101289073480033,0.21637146960268072,0.2577580747308423,5,97.8,25.576551761330144,59,137,5,0.05137924245943899,0.020278218564410595,0.026636568848758466,0.08676377454084863,5,0.022666943988910383,0.007025661025106261,0.012809379070777248,0.03428428428428428,5,0.0,0.0,0.0,0.0,0.0,True,1,True
D+DINAMICA,modelo,5,0.7328252190125274,0.0037953538582325154,0.7264417845484222,0.7370820668693009,5,0.710020469782656,0.00900212575947627,0.7006923379520845,0.7265283073945122,5,0.7066001383104291,0.010643406838063496,0.6979961000633933,0.72706367062074,5,0.710020469782656,0.00900212575947627,0.7006923379520845,0.7265283073945122,5,0.7047105741998931,0.008084531733333025,0.6968529063917807,0.7192907104385692,5,0.8700670357333813,0.0026807465568023,0.8669812015255873,0.8747428885408125,5,0.8831932279192574,0.006309955403019395,0.8781467611988605,0.8949829583705952,5,0.7614413358370022,0.017484545236557215,0.7333755541481951,0.7841072283389181,5,0.8569598669684149,0.0191933665553551,0.8364595545134819,0.8895287958115183,5,0.8063011810669536,0.0163629952173824,0.7824324324324323,0.8237575757575758,5,1994.4,235.59762307799286,1579,2215,5,472.2,34.11392677485252,421,516,5,0.23855866416299776,0.017484545236557236,0.21589277166108187,0.26662444585180495,5,100.2,26.678830559078108,63,144,5,0.05268672164990312,0.021344400369882385,0.028442437923250564,0.09119696010132995,5,0.023220255414597622,0.0073491526633667655,0.013677811550151976,0.036036036036036036,5,-0.0002614612680744699,9.853853801033985e-05,-0.0030500538183140247,0.00305005381831408,0.0013074791904641309,True,2,False
D+PERMANENCIA,modelo,5,0.7324064962252008,0.004448542789850204,0.7273998136067101,0.7387387387387387,5,0.7098518176807028,0.008482003266618727,0.7002037121875674,0.7251338035054605,5,0.7063093812941081,0.010352038047307943,0.6953310091685969,0.7257509255119361,5,0.7098518176807028,0.008482003266618727,0.7002037121875674,0.7251338035054605,5,0.7045238625579199,0.007789899394929955,0.6947566674935389,0.7182264303092696,5,0.869821044405572,0.002811183552093088,0.8660287808757946,0.8743546827524208,5,0.8833232011226423,0.006233434223902859,0.8780171550084418,0.8951490954233691,5,0.7600664353268703,0.015495639340297343,0.7371754274857505,0.7759693633317377,5,0.8555759531322173,0.019845591884647393,0.8335294117647059,0.8887147335423198,5,0.804943952748357,0.01615464666071825,0.7838383838383838,0.823928311939937,5,1994.4,235.59762307799286,1579,2215,5,475.2,33.772177898382566,415,514,5,0.2399335646731297,0.015495639340297332,0.22403063666826234,0.2628245725142495,5,100.2,25.245989780557228,61,137,5,0.052556289477328544,0.02004977813520025,0.027539503386004513,0.08676377454084863,5,0.023208061138451416,0.006927179811806142,0.013243595310464611,0.03428428428428428,5,-0.0004481729100477283,-7.011356394281965e-05,-0.004424954328445918,0.004424954328446029,0.0011770470178895515,True,3,False
D+FLUJO,modelo,5,0.7325222784568687,0.0036666822979235254,0.727865796831314,0.7367367367367368,5,0.7093090826980913,0.008802410880021061,0.6995696310178539,0.7258231909071714,5,0.7061212131573008,0.010205405479593269,0.6975802963552779,0.725967688463583,5,0.7093090826980913,0.008802410880021061,0.6995696310178539,0.7258231909071714,5,0.7042313083414226,0.007795806259096494,0.696171561559117,0.7188625214457698,5,0.8697064074406177,0.0026003620106497677,0.8663266688291852,0.8741919291649992,5,0.8831577450545931,0.006528908337012551,0.878239703412094,0.8954653524440576,5,0.7604310999889637,0.01893053488525329,0.7302089930335656,0.7817137386309239,5,0.8551899850388969,0.0189115249819132,0.8319672131147541,0.8856396866840731,5,0.8049476943022252,0.017114243193003555,0.7806364251861881,0.8213075060532687,5,1994.4,235.59762307799286,1579,2215,5,473.8,31.38407239349285,426,519,5,0.23956890001103615,0.018930534885253307,0.2182862613690761,0.26979100696643443,5,101.2,26.75369133409444,63,142,5,0.05316621149444262,0.021132436384042507,0.028442437923250564,0.08993033565547814,5,0.023435481471656854,0.007285935650127978,0.013677811550151976,0.03553553553553553,5,-0.0007407271265450488,-0.000612848546554301,-0.004060289666352523,0.004060289666352468,0.0017869690350036244,True,4,False
D+DEMANDA,modelo,5,0.7318401306526974,0.003534496059116804,0.7280987884436161,0.7362362362362362,5,0.7093822691196341,0.007748805785800626,0.7023257205430351,0.7243054049956142,5,0.7058391873330254,0.00951305559912297,0.6991496797874159,0.7245145762236208,5,0.7093822691196341,0.007748805785800626,0.7023257205430351,0.7243054049956142,5,0.7039238992395986,0.007142906187595376,0.6977639545535554,0.7174140374559052,5,0.8696975131879279,0.002571817612828165,0.8664443558777372,0.8740752351626667,5,0.8833430460907387,0.006459689061902291,0.8783426296793162,0.8954684198954638,5,0.759784632164192,0.02001550393733927,0.7289423685877138,0.7817137386309239,5,0.8568562025737032,0.018552622611292955,0.836094674556213,0.8883672404799166,5,0.8053261469739811,0.017770048569537126,0.7806035944387928,0.824298160696999,5,1994.4,235.59762307799286,1579,2215,5,474.8,29.49169374586682,428,512,5,0.24021536783580802,0.020015503937339287,0.2182862613690761,0.2710576314122863,5,99.8,23.919866220361687,65,136,5,0.052256873580370344,0.01941128324164619,0.029345372460496615,0.08613046231792273,5,0.023083607757226236,0.006589837253771451,0.01411202778983934,0.03403403403403404,5,-0.0010481362283689677,-0.000539662125011553,-0.004706757491124258,0.0047067574911243415,0.000877631120931352,True,5,False
