modelo,tipo,n_anios,accuracy_promedio,accuracy_std,accuracy_min,accuracy_max,accuracy_n_validos,balanced_accuracy_promedio,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_n_validos,precision_macro_promedio,precision_macro_std,precision_macro_min,precision_macro_max,precision_macro_n_validos,recall_macro_promedio,recall_macro_std,recall_macro_min,recall_macro_max,recall_macro_n_validos,f1_macro_promedio,f1_macro_std,f1_macro_min,f1_macro_max,f1_macro_n_validos,specificity_macro_promedio,specificity_macro_std,specificity_macro_min,specificity_macro_max,specificity_macro_n_validos,roc_auc_ovr_macro_promedio,roc_auc_ovr_macro_std,roc_auc_ovr_macro_min,roc_auc_ovr_macro_max,roc_auc_ovr_macro_n_validos,recall_alto_promedio,recall_alto_std,recall_alto_min,recall_alto_max,recall_alto_n_validos,precision_alto_promedio,precision_alto_std,precision_alto_min,precision_alto_max,precision_alto_n_validos,f1_alto_promedio,f1_alto_std,f1_alto_min,f1_alto_max,f1_alto_n_validos,casos_alto_reales_promedio,casos_alto_reales_std,casos_alto_reales_min,casos_alto_reales_max,casos_alto_reales_n_validos,falsos_negativos_alto_promedio,falsos_negativos_alto_std,falsos_negativos_alto_min,falsos_negativos_alto_max,falsos_negativos_alto_n_validos,tasa_falsos_negativos_alto_promedio,tasa_falsos_negativos_alto_std,tasa_falsos_negativos_alto_min,tasa_falsos_negativos_alto_max,tasa_falsos_negativos_alto_n_validos,errores_alto_bajo_promedio,errores_alto_bajo_std,errores_alto_bajo_min,errores_alto_bajo_max,errores_alto_bajo_n_validos,proporcion_alto_bajo_promedio,proporcion_alto_bajo_std,proporcion_alto_bajo_min,proporcion_alto_bajo_max,proporcion_alto_bajo_n_validos,proporcion_alto_bajo_total_promedio,proporcion_alto_bajo_total_std,proporcion_alto_bajo_total_min,proporcion_alto_bajo_total_max,proporcion_alto_bajo_total_n_validos,delta_f1_macro_promedio,delta_balanced_accuracy_promedio,delta_recall_alto_promedio,delta_tasa_falsos_negativos_alto_promedio,delta_proporcion_alto_bajo_promedio,admisible,ranking,seleccionada
D,modelo,5,0.7334416933779073,0.005031865987690604,0.7292637465051258,0.741991991991992,5,0.7099219312446456,0.007490495678263769,0.7023918164208559,0.7239155787382439,5,0.7067988475287211,0.00932332923712862,0.6976412845954297,0.7247138169281161,5,0.7099219312446456,0.007490495678263769,0.7023918164208559,0.7239155787382439,5,0.7049720354679676,0.0068924448065748375,0.696872793412408,0.7176027933890513,5,0.870185608674096,0.002494617713801196,0.8670681607723981,0.8738180741026055,5,0.8834422719775145,0.006338387150573261,0.8786453999583514,0.895360548460021,5,0.7644913896553163,0.01510128907348006,0.7422419252691577,0.7836285303973193,5,0.8553342431684344,0.018464933873949232,0.8311990686845169,0.8837209302325582,5,0.8073203475494404,0.015498086087813107,0.7878991596638656,0.8240963855421687,5,1994.4,235.59762307799286,1579,2215,5,466.6,35.34176000144871,407,505,5,0.23550861034468368,0.015101289073480033,0.21637146960268072,0.2577580747308423,5,97.8,25.576551761330144,59,137,5,0.05137924245943899,0.020278218564410595,0.026636568848758466,0.08676377454084863,5,0.022666943988910383,0.007025661025106261,0.012809379070777248,0.03428428428428428,5,0.0,0.0,0.0,0.0,0.0,True,1,True
D+A_CAMAS,modelo,5,0.7325964519292865,0.0054956283046571006,0.7239049394221808,0.7392392392392393,5,0.7093827032359915,0.008737865180325833,0.7015364839212862,0.7261671052389191,5,0.7064446116883509,0.011161302741790766,0.6993320162691331,0.7284833662476288,5,0.7093827032359915,0.008737865180325833,0.7015364839212862,0.7261671052389191,5,0.7043066722164028,0.00765334734460447,0.6985416966744112,0.7192560648446266,5,0.8698013002147882,0.003214386902387839,0.8645456105007311,0.8743068797302288,5,0.8834468543607132,0.006206143441049931,0.8787162012362257,0.8953352994879129,5,0.7627910421060948,0.01256715546760446,0.7422419252691577,0.7774054571565342,5,0.855995584912689,0.01877482073584698,0.8332364904125509,0.8859968766267569,5,0.8066569956440105,0.014032046320218152,0.7876344086021506,0.8230174081237911,5,1994.4,235.59762307799286,1579,2215,5,470.4,37.12465488055074,407,513,5,0.2372089578939051,0.01256715546760445,0.22259454284346578,0.2577580747308423,5,99.4,26.87452325158532,57,139,5,0.05224221876154519,0.020869134116510996,0.025733634311512415,0.08803039898670044,5,0.023046576377193383,0.007313200087394593,0.012375162831089883,0.034784784784784785,5,-0.0006653632515648544,-0.0005392280086541357,-0.001700347549221437,0.0017003475492214093,0.0008629763021061956,True,2,False
D+A_COMPLETO,modelo,5,0.7328095492208357,0.005509098622431747,0.7253536452665941,0.737987987987988,5,0.7089976809363783,0.007861712147638531,0.7000031387431612,0.7235400645317621,5,0.7059490360037375,0.009705178425542787,0.6978408020175147,0.7249412243279533,5,0.7089976809363783,0.007861712147638531,0.7000031387431612,0.7235400645317621,5,0.7041077076603746,0.007007244973096241,0.6968838112649628,0.7172504240872243,5,0.8698549366827872,0.0029806216842904764,0.8661833989667577,0.873743664857197,5,0.8833992733239869,0.006088410536960386,0.8785527170105419,0.8949431241230431,5,0.7629603682720928,0.012628537699923685,0.7397086763774541,0.7754906653901388,5,0.8552383282147357,0.0185615583635011,0.8333333333333334,0.8846352819451629,5,0.8064196694187972,0.014113078301620568,0.7854741089441829,0.824493731918997,5,1994.4,235.59762307799286,1579,2215,5,470.0,36.45270908999769,411,511,5,0.23703963172790718,0.0126285376999237,0.22450933460986117,0.2602913236225459,5,98.0,23.647410006171924,61,134,5,0.05132050727150613,0.01910779812659912,0.027539503386004513,0.08486383787207093,5,0.02268480826805763,0.006545717315790095,0.013243595310464611,0.033533533533533534,5,-0.0008643278075930461,-0.0009242503082673714,-0.0015310213832234743,0.001531021383223502,-5.873518793286098e-05,True,3,False
D+A_RECURSOS,modelo,5,0.7327484042567791,0.0062789296972356355,0.7236126224156693,0.7414914914914915,5,0.7091410620779232,0.009052658534432791,0.7019224710975488,0.7259249340016068,5,0.7057950539318366,0.011057821369013388,0.6974869877418247,0.7271588644719486,5,0.7091410620779232,0.009052658534432791,0.7019224710975488,0.7259249340016068,5,0.7040730926049255,0.008274423591765119,0.6968197070260632,0.719300884134928,5,0.8699643201121414,0.0032056345490803695,0.8657269870891101,0.8748289290590838,5,0.8832145047604009,0.0063005305077933095,0.8787276281646257,0.8952203107320233,5,0.7628040593682041,0.011978189578513893,0.746675110829639,0.7764480612733365,5,0.8562256216742572,0.020331130190169765,0.8318739054290718,0.8878504672897196,5,0.8067864507329782,0.015164453833932933,0.7890365448504983,0.82588746679546,5,1994.4,235.59762307799286,1579,2215,5,470.6,38.774218238411976,400,507,5,0.23719594063179592,0.011978189578513897,0.22355193872666348,0.253324889170361,5,99.0,24.5682722225231,60,133,5,0.05185036049472387,0.019346674936421972,0.02708803611738149,0.08423052564914503,5,0.022908622738260283,0.006675634982961987,0.013026487190620929,0.03328328328328328,5,-0.0008989428630421514,-0.0007808691667224865,-0.0016873302871122098,0.0016873302871122375,0.0004711180352848787,True,4,False
D+A_RATIOS,modelo,5,0.7322955460219246,0.006408208803273794,0.7239049394221808,0.7407407407407407,5,0.7080751743310488,0.008482757914277312,0.7013696339473925,0.7247983913821615,5,0.7052158589164266,0.01108356096932961,0.6991997264630481,0.7273678551721154,5,0.7080751743310488,0.008482757914277312,0.7013696339473925,0.7247983913821615,5,0.7032357816405629,0.007474121300484474,0.6986688632665877,0.7181180701625679,5,0.8696643009275686,0.0034352251698604648,0.8648645033936502,0.8741377905795011,5,0.8831807640015337,0.0061047041045276754,0.8789258167633905,0.8952313963973902,5,0.7646106608868375,0.01020739253236941,0.7479417352754908,0.7745332695069411,5,0.8550080311736054,0.020142496777499668,0.8327546296296297,0.8875585632483082,5,0.8072327380512416,0.013672891191956544,0.7889111556446226,0.8244680851063829,5,1994.4,235.59762307799286,1579,2215,5,467.2,38.9224870736699,398,510,5,0.23538933911316245,0.010207392532369419,0.22546673049305888,0.2520582647245092,5,98.2,23.26714421668461,58,129,5,0.05130670798351776,0.018283520070462835,0.02618510158013544,0.08169727675744141,5,0.022720339755669207,0.006354390284862465,0.012592270950933565,0.03228228228228228,5,-0.0017362538274047212,-0.0018467569135968143,0.00011927123152122299,-0.00011927123152122299,-7.253447592123208e-05,True,5,False
