anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,modelo,tipo,fase,n_features
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7292637465051258,0.7090684787933706,0.7040629288657971,0.7090684787933706,0.7046006060575793,0.8670681607723981,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,91,0.043561512685495456,0.021202236719478098,D,modelo,desarrollo,69
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7239049394221808,0.7041386571074887,0.6993320162691331,0.7041386571074887,0.6995404047139475,0.8645456105007311,0.8838396246321897,0.7774054571565342,0.8592592592592593,0.8162854988690625,2089,465,0.22259454284346578,95,0.04547630445189086,0.022134203168685928,D+A_CAMAS,modelo,desarrollo,70
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7294967381174278,0.7114516929662202,0.7054548007172016,0.7114516929662202,0.7060889554318911,0.8677094531604522,0.8839084903801968,0.7764480612733365,0.8655282817502669,0.8185717890487005,2089,467,0.22355193872666348,90,0.0430828147438966,0.02096924510717614,D+A_RECURSOS,modelo,desarrollo,73
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7239049394221808,0.7050079731759457,0.6995668421870613,0.7050079731759457,0.6999232674789434,0.8648645033936502,0.8819316986114517,0.7745332695069411,0.862013851891316,0.8159354513363591,2089,471,0.22546673049305888,97,0.04643370033508856,0.022600186393289843,D+A_RATIOS,modelo,desarrollo,76
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7269338303821062,0.7087942370361727,0.7039235826829812,0.7087942370361727,0.7038641796691184,0.8661833989667577,0.8841691177987924,0.7754906653901388,0.861244019138756,0.8161209068010076,2089,469,0.22450933460986117,91,0.043561512685495456,0.021202236719478098,D+A_COMPLETO,modelo,desarrollo,79
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.741991991991992,0.7047139817550528,0.7023388203130448,0.7047139817550528,0.7015495895327827,0.8723277197559968,0.879984434506257,0.7422419252691577,0.839541547277937,0.7878991596638656,1579,407,0.2577580747308423,137,0.08676377454084863,0.03428428428428428,D,modelo,desarrollo,69
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7392392392392393,0.7015364839212862,0.699431800536075,0.7015364839212862,0.6985416966744112,0.8708798756730248,0.8787162012362257,0.7422419252691577,0.8389405869720831,0.7876344086021506,1579,407,0.2577580747308423,139,0.08803039898670044,0.034784784784784785,D+A_CAMAS,modelo,desarrollo,70
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7414914914914915,0.7034141324574436,0.7010157685117654,0.7034141324574436,0.7004684174163506,0.87207273945361,0.8791548574157994,0.746675110829639,0.836763662171753,0.7891566265060241,1579,400,0.253324889170361,133,0.08423052564914503,0.03328328328328328,D+A_RECURSOS,modelo,desarrollo,73
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7407407407407407,0.7013696339473925,0.6991997264630481,0.7013696339473925,0.6986688632665877,0.8717450792511668,0.8789258167633905,0.7479417352754908,0.8346289752650177,0.7889111556446226,1579,398,0.2520582647245092,129,0.08169727675744141,0.03228228228228228,D+A_RATIOS,modelo,desarrollo,76
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.737987987987988,0.7000031387431612,0.6978408020175147,0.7000031387431612,0.6968838112649628,0.8705385748866536,0.8785527170105419,0.7397086763774541,0.8372759856630825,0.7854741089441829,1579,411,0.2602913236225459,134,0.08486383787207093,0.033533533533533534,D+A_COMPLETO,modelo,desarrollo,79
